"","x"
"1","HAL"
"2","LYV"
"3","ADP"
"4","NWL"
"5","STT"
"6","FISV"
"7","WYNN"
"8","TDY"
"9","DVN"
"10","ES"
"11","MSFT"
"12","ABMD"
"13","HIG"
"14","XRAY"
"15","BXP"
"16","A"
"17","L"
"18","AVGO"
"19","CVS"
"20","CI"
"21","DLR"
"22","TTWO"
"23","CMS"
"24","UAA"
"25","MPWR"
"26","PHM"
"27","CDNS"
"28","DTE"
"29","AEP"
"30","RJF"
"31","CPB"
"32","CSX"
"33","JNPR"
"34","PG"
"35","ALL"
"36","CMG"
"37","PBCT"
"38","CE"
"39","SBUX"
"40","GL"
"41","TAP"
"42","MCO"
"43","DLTR"
"44","MTD"
"45","KIM"
"46","TT"
"47","VNO"
"48","LRCX"
"49","WBA"
"50","LH"
"51","KO"
"52","RL"
"53","PFE"
"54","TSN"
"55","AZO"
"56","WM"
"57","ALK"
"58","AWK"
"59","ADM"
"60","DD"
"61","PNC"
"62","VZ"
"63","KLAC"
"64","UPS"
"65","NEE"
"66","MET"
"67","ULTA"
"68","LNT"
"69","PNR"
"70","DRE"
"71","JNJ"
"72","VRSK"
"73","AKAM"
"74","STX"
"75","ALGN"
"76","FMC"
"77","PM"
"78","ARE"
"79","RHI"
"80","MOS"
"81","MKC"
"82","HSIC"
"83","SNA"
"84","UNP"
"85","DUK"
"86","LDOS"
"87","PEP"
"88","BEN"
"89","ISRG"
"90","FE"
"91","KMX"
"92","NFLX"
"93","CME"
"94","CRL"
"95","EL"
"96","BAX"
"97","AOS"
"98","NKE"
"99","YUM"
"100","DHI"
"101","BKNG"
"102","APH"
"103","MNST"
"104","DAL"
"105","COP"
"106","WY"
"107","ORCL"
"108","CHTR"
"109","PENN"
"110","PLD"
"111","INCY"
"112","PEG"
"113","RCL"
"114","TGT"
"115","PAYX"
"116","REG"
"117","JKHY"
"118","MDT"
"119","ANTM"
"120","FAST"
"121","CTSH"
"122","ILMN"
"123","CPRT"
"124","TECH"
"125","NUE"
"126","K"
"127","GOOG"
"128","ETN"
"129","BK"
"130","CAG"
"131","HRL"
"132","WAT"
"133","EBAY"
"134","SBNY"
"135","HBAN"
"136","FITB"
"137","PPL"
"138","SRE"
"139","HST"
"140","WMT"
"141","T"
"142","TRMB"
"143","TEL"
"144","TYL"
"145","DXC"
"146","VMC"
"147","BA"
"148","ABT"
"149","HPQ"
"150","SBAC"
"151","FDX"
"152","COST"
"153","FFIV"
"154","HAS"
"155","NVR"
"156","GD"
"157","AVY"
"158","EFX"
"159","HON"
"160","WAB"
"161","ACN"
"162","CRM"
"163","AIG"
"164","PEAK"
"165","MHK"
"166","GOOGL"
"167","CHD"
"168","EIX"
"169","MMC"
"170","VLO"
"171","NI"
"172","NRG"
"173","GPC"
"174","FIS"
"175","BRO"
"176","MMM"
"177","ESS"
"178","IP"
"179","VRSN"
"180","XOM"
"181","CAT"
"182","CB"
"183","HOLX"
"184","EA"
"185","TDG"
"186","CMI"
"187","RTX"
"188","SPG"
"189","RSG"
"190","PARA"
"191","TXT"
"192","PKI"
"193","TER"
"194","ICE"
"195","NTRS"
"196","RMD"
"197","NOC"
"198","VTR"
"199","O"
"200","SYY"
"201","WST"
"202","WEC"
"203","NTAP"
"204","GRMN"
"205","ROL"
"206","GS"
"207","SNPS"
"208","POOL"
"209","VRTX"
"210","AAL"
"211","TFX"
"212","IFF"
"213","EMN"
"214","ROST"
"215","ATVI"
"216","AMP"
"217","IPGP"
"218","ALB"
"219","EXC"
"220","MAS"
"221","MCHP"
"222","EXPE"
"223","UNH"
"224","DIS"
"225","MGM"
"226","CLX"
"227","KEY"
"228","J"
"229","MDLZ"
"230","IRM"
"231","MRK"
"232","RF"
"233","MAR"
"234","CCL"
"235","XEL"
"236","ORLY"
"237","MKTX"
"238","DXCM"
"239","USB"
"240","DISCK"
"241","SWKS"
"242","GLW"
"243","CMCSA"
"244","RE"
"245","CHRW"
"246","LVS"
"247","CTXS"
"248","AMZN"
"249","BMY"
"250","DISH"
