"","x"
"1","USB"
"2","XOM"
"3","APH"
"4","AAP"
"5","RTX"
"6","ALK"
"7","CHRW"
"8","MCO"
"9","NDAQ"
"10","TDG"
"11","GL"
"12","PH"
"13","HBAN"
"14","XEL"
"15","MSFT"
"16","NOC"
"17","AEP"
"18","RL"
"19","AEE"
"20","IBM"
"21","PAYX"
"22","ODFL"
"23","AMD"
"24","F"
"25","MMM"
"26","TFX"
"27","ETR"
"28","TSN"
"29","CB"
"30","SEE"
"31","LLY"
"32","FAST"
"33","MNST"
"34","EVRG"
"35","MDT"
"36","ABC"
"37","DOV"
"38","BLL"
"39","ZBRA"
"40","NKE"
"41","MHK"
"42","CDNS"
"43","ABT"
"44","PM"
"45","EIX"
"46","JPM"
"47","DHR"
"48","NFLX"
"49","SRE"
"50","WM"
"51","COF"
"52","GE"
"53","EA"
"54","KO"
"55","ROST"
"56","EFX"
"57","MGM"
"58","LMT"
"59","L"
"60","DUK"
"61","AAL"
"62","LNT"
"63","ADP"
"64","MLM"
"65","HSIC"
"66","ADI"
"67","DG"
"68","MCD"
"69","TEL"
"70","VNO"
"71","LIN"
"72","SYK"
"73","IPG"
"74","BAC"
"75","CPB"
"76","RE"
"77","KLAC"
"78","PSA"
"79","EQR"
"80","ARE"
"81","T"
"82","PBCT"
"83","CNP"
"84","GS"
"85","LDOS"
"86","SJM"
"87","COO"
"88","WY"
"89","HOLX"
"90","FTNT"
"91","YUM"
"92","CME"
"93","GPC"
"94","PXD"
"95","IRM"
"96","SBAC"
"97","LKQ"
"98","SYY"
"99","EW"
"100","AVY"
"101","PARA"
"102","FISV"
"103","FCX"
"104","TGT"
"105","CTAS"
"106","INTC"
"107","LUV"
"108","CTXS"
"109","PCAR"
"110","TAP"
"111","MKTX"
"112","WELL"
"113","GD"
"114","CI"
"115","CL"
"116","SWKS"
"117","A"
"118","NI"
"119","CAG"
"120","SCHW"
"121","MOH"
"122","COST"
"123","MET"
"124","TER"
"125","CTRA"
"126","UHS"
"127","FE"
"128","WMB"
"129","PPG"
"130","AJG"
"131","REG"
"132","MRO"
"133","WMT"
"134","ECL"
"135","MO"
"136","HAL"
"137","UNH"
"138","ALL"
"139","WFC"
"140","KR"
"141","AVB"
"142","AIZ"
"143","STX"
"144","APD"
"145","LHX"
"146","TXN"
"147","AAPL"
"148","FITB"
"149","AIG"
"150","FMC"
"151","UAA"
"152","LYV"
"153","CSX"
"154","J"
"155","RHI"
"156","BKNG"
"157","BSX"
"158","AMT"
"159","ATO"
"160","INCY"
"161","DVN"
"162","VTR"
"163","WAB"
"164","SLB"
"165","PEG"
"166","DRE"
"167","JBHT"
"168","TXT"
"169","HUM"
"170","SHW"
"171","COP"
"172","FDX"
"173","AMZN"
"174","ROP"
"175","MTB"
"176","LNC"
"177","TMUS"
"178","VZ"
"179","ACN"
"180","URI"
"181","POOL"
"182","WAT"
"183","RMD"
"184","CMI"
"185","XRAY"
"186","NLOK"
"187","CRM"
"188","CVS"
"189","D"
"190","HPQ"
"191","DXCM"
"192","TT"
"193","PNW"
"194","WRB"
"195","DRI"
"196","GNRC"
"197","HAS"
"198","OKE"
"199","TMO"
"200","CMA"
"201","LOW"
"202","FDS"
"203","EBAY"
"204","CLX"
"205","PWR"
"206","RCL"
"207","KMB"
"208","BIO"
"209","WST"
"210","VFC"
"211","HES"
"212","DHI"
"213","ADBE"
"214","MDLZ"
"215","MTD"
"216","MOS"
"217","NSC"
"218","CMCSA"
"219","NVDA"
"220","JCI"
"221","GILD"
"222","KMX"
"223","AWK"
"224","DISCA"
"225","DLTR"
"226","SO"
"227","GIS"
"228","ADM"
"229","CSCO"
"230","DE"
"231","UNP"
"232","AON"
"233","PEAK"
"234","O"
"235","SIVB"
"236","GWW"
"237","ALB"
"238","HIG"
"239","PKI"
"240","DISH"
"241","NRG"
"242","CVX"
"243","DISCK"
"244","LVS"
"245","ATVI"
"246","CRL"
"247","ESS"
"248","MSCI"
"249","JNPR"
"250","NEE"
