"","x"
"1","HAS"
"2","TDG"
"3","NDSN"
"4","MET"
"5","IT"
"6","ATVI"
"7","BBWI"
"8","LNC"
"9","MTB"
"10","RHI"
"11","INCY"
"12","HBAN"
"13","LH"
"14","CMA"
"15","NTAP"
"16","CERN"
"17","ADBE"
"18","HST"
"19","CNP"
"20","TFX"
"21","EBAY"
"22","URI"
"23","CF"
"24","TRMB"
"25","RJF"
"26","MA"
"27","ED"
"28","LHX"
"29","SYK"
"30","AMT"
"31","VRSN"
"32","LIN"
"33","SRE"
"34","UNH"
"35","AON"
"36","PAYX"
"37","LEN"
"38","AVY"
"39","BK"
"40","PCAR"
"41","LUMN"
"42","PEAK"
"43","OXY"
"44","MS"
"45","ORCL"
"46","TECH"
"47","CMCSA"
"48","DVA"
"49","CRM"
"50","IDXX"
"51","SO"
"52","EOG"
"53","HRL"
"54","ETN"
"55","REGN"
"56","FMC"
"57","STX"
"58","BKR"
"59","MCO"
"60","LUV"
"61","ROST"
"62","NRG"
"63","INTU"
"64","CMI"
"65","EIX"
"66","BEN"
"67","JNPR"
"68","CAT"
"69","WBA"
"70","DPZ"
"71","ADSK"
"72","BAX"
"73","MSFT"
"74","WMB"
"75","FFIV"
"76","IBM"
"77","EXC"
"78","GWW"
"79","L"
"80","LLY"
"81","AAL"
"82","ADI"
"83","AMD"
"84","MMM"
"85","ALL"
"86","SYY"
"87","KMX"
"88","QCOM"
"89","CHD"
"90","EQIX"
"91","DGX"
"92","PNR"
"93","TROW"
"94","TMUS"
"95","DISCK"
"96","DLR"
"97","LVS"
"98","ABC"
"99","PPG"
"100","MAA"
"101","F"
"102","CRL"
"103","EXR"
"104","BMY"
"105","CSX"
"106","VLO"
"107","EW"
"108","TYL"
"109","KEY"
"110","WRB"
"111","OMC"
"112","RMD"
"113","DRE"
"114","MTCH"
"115","MNST"
"116","BXP"
"117","BWA"
"118","PKI"
"119","GOOG"
"120","STZ"
"121","IPGP"
"122","MRK"
"123","ISRG"
"124","IRM"
"125","BLK"
"126","DG"
"127","ALK"
"128","CSCO"
"129","TSN"
"130","CCI"
"131","USB"
"132","DTE"
"133","BA"
"134","NWL"
"135","NEM"
"136","FIS"
"137","WY"
"138","VTRS"
"139","JCI"
"140","PRU"
"141","PBCT"
"142","VRTX"
"143","MOS"
"144","ADM"
"145","RSG"
"146","LDOS"
"147","D"
"148","BDX"
"149","BRO"
"150","WELL"
"151","WEC"
"152","CHRW"
"153","WTW"
"154","CAH"
"155","GOOGL"
"156","WYNN"
"157","SIVB"
"158","LMT"
"159","COST"
"160","NDAQ"
"161","T"
"162","UDR"
"163","BAC"
"164","EMN"
"165","PNW"
"166","TXN"
"167","AAP"
"168","ICE"
"169","NVR"
"170","DXCM"
"171","ABT"
"172","KR"
"173","BKNG"
"174","LOW"
"175","STT"
"176","MLM"
"177","HES"
"178","MAS"
"179","KMB"
"180","DXC"
"181","DLTR"
"182","VZ"
"183","XOM"
"184","CTXS"
"185","CLX"
"186","JBHT"
"187","AFL"
"188","YUM"
"189","NKE"
"190","DIS"
"191","CPB"
"192","PH"
"193","HOLX"
"194","WMT"
"195","TXT"
"196","REG"
"197","JKHY"
"198","DUK"
"199","NTRS"
"200","EXPE"
"201","FTNT"
"202","CVX"
"203","AEP"
"204","PENN"
"205","PVH"
"206","DHR"
"207","TT"
"208","GD"
"209","SHW"
"210","GPN"
"211","PM"
"212","CHTR"
"213","TDY"
"214","CB"
"215","SPG"
"216","BIO"
"217","VNO"
"218","PNC"
"219","PXD"
"220","RCL"
"221","IFF"
"222","XRAY"
"223","MMC"
"224","AES"
"225","TPR"
"226","EMR"
"227","AEE"
"228","WFC"
"229","DOV"
"230","CBRE"
"231","ACN"
"232","CDNS"
"233","CPRT"
"234","NSC"
"235","UAL"
"236","C"
"237","TJX"
"238","FDS"
"239","ROL"
"240","K"
"241","HPQ"
"242","DAL"
"243","CME"
"244","TFC"
"245","KLAC"
"246","DD"
"247","RE"
"248","DRI"
"249","TGT"
"250","AKAM"
