"","x"
"1","SNPS"
"2","VTR"
"3","CCI"
"4","RTX"
"5","TFX"
"6","MKTX"
"7","PRU"
"8","STE"
"9","AZO"
"10","SCHW"
"11","FDX"
"12","WELL"
"13","PEP"
"14","PEAK"
"15","CCL"
"16","BWA"
"17","NDAQ"
"18","ABMD"
"19","APH"
"20","GIS"
"21","PPL"
"22","BBWI"
"23","TDG"
"24","PFG"
"25","MTD"
"26","XEL"
"27","UDR"
"28","MU"
"29","VNO"
"30","IP"
"31","LVS"
"32","IBM"
"33","BDX"
"34","EW"
"35","MSCI"
"36","ALGN"
"37","HPQ"
"38","MS"
"39","EBAY"
"40","INTC"
"41","TROW"
"42","NLOK"
"43","BR"
"44","IVZ"
"45","JNPR"
"46","AEP"
"47","CRL"
"48","CHRW"
"49","BMY"
"50","WRB"
"51","AFL"
"52","DRI"
"53","WM"
"54","UNH"
"55","ITW"
"56","DISCA"
"57","LNC"
"58","HAL"
"59","CMA"
"60","ES"
"61","AWK"
"62","ETN"
"63","KMB"
"64","ETR"
"65","SPG"
"66","CSX"
"67","BK"
"68","HRL"
"69","AAPL"
"70","FRT"
"71","NEM"
"72","AIG"
"73","GS"
"74","CVX"
"75","CL"
"76","PEG"
"77","BLL"
"78","RF"
"79","MSI"
"80","OMC"
"81","WTW"
"82","GPN"
"83","MHK"
"84","MTB"
"85","JBHT"
"86","GNRC"
"87","AXP"
"88","APD"
"89","WST"
"90","EMN"
"91","WDC"
"92","CPRT"
"93","DUK"
"94","CVS"
"95","MDLZ"
"96","JCI"
"97","APA"
"98","ORCL"
"99","AJG"
"100","DHR"
"101","KEY"
"102","ANTM"
"103","URI"
"104","MRO"
"105","PENN"
"106","NOC"
"107","NFLX"
"108","ATO"
"109","QCOM"
"110","IPG"
"111","IPGP"
"112","COP"
"113","WAT"
"114","CPB"
"115","MDT"
"116","LIN"
"117","ODFL"
"118","KR"
"119","EMR"
"120","EQIX"
"121","MGM"
"122","MMM"
"123","GLW"
"124","CB"
"125","NI"
"126","LUMN"
"127","NRG"
"128","PFE"
"129","TT"
"130","ULTA"
"131","MAS"
"132","CINF"
"133","V"
"134","RL"
"135","NUE"
"136","VTRS"
"137","UHS"
"138","STX"
"139","NTRS"
"140","FISV"
"141","VRTX"
"142","PNW"
"143","EXC"
"144","CMCSA"
"145","NWL"
"146","FFIV"
"147","IEX"
"148","DFS"
"149","SWK"
"150","SWKS"
"151","NVR"
"152","TRV"
"153","SNA"
"154","MET"
"155","TFC"
"156","EXPD"
"157","MMC"
"158","CE"
"159","PSA"
"160","RJF"
"161","NEE"
"162","PGR"
"163","ZBRA"
"164","MCO"
"165","PHM"
"166","DTE"
"167","BSX"
"168","AVB"
"169","FAST"
"170","SJM"
"171","PVH"
"172","JPM"
"173","ALK"
"174","EFX"
"175","FCX"
"176","AMT"
"177","ATVI"
"178","KIM"
"179","RSG"
"180","O"
"181","ABT"
"182","PNR"
"183","BIO"
"184","CERN"
"185","MOH"
"186","DPZ"
"187","DRE"
"188","CAG"
"189","SYK"
"190","DISCK"
"191","BLK"
"192","EQR"
"193","ECL"
"194","ADBE"
"195","FTNT"
"196","VLO"
"197","KO"
"198","DE"
"199","MCD"
"200","IT"
"201","PKG"
"202","NDSN"
"203","HSIC"
"204","PG"
"205","NTAP"
"206","ICE"
"207","VMC"
"208","EA"
"209","WBA"
"210","STT"
"211","HD"
"212","OKE"
"213","ROL"
"214","BKNG"
"215","HSY"
"216","EVRG"
"217","GOOG"
"218","CME"
"219","ED"
"220","FMC"
"221","INCY"
"222","DVA"
"223","BAX"
"224","AVGO"
"225","KMX"
"226","LEN"
"227","ISRG"
"228","GRMN"
"229","FIS"
"230","DHI"
"231","ADM"
"232","ROP"
"233","CMI"
"234","MOS"
"235","ADP"
"236","INTU"
"237","NSC"
"238","AAL"
"239","TDY"
"240","DLTR"
"241","TECH"
"242","PTC"
"243","ADSK"
"244","MRK"
"245","HST"
"246","WY"
"247","HES"
"248","CLX"
"249","CBRE"
"250","TRMB"
