"","x"
"1","MDT"
"2","PM"
"3","CHTR"
"4","PG"
"5","INTC"
"6","COST"
"7","BKNG"
"8","AMGN"
"9","TMUS"
"10","WFC"
"11","LLY"
"12","GS"
"13","BAC"
"14","BK"
"15","ABT"
"16","MMM"
"17","MSFT"
"18","NVDA"
"19","FDX"
"20","ABBV"
