"","x"
"1","GOOG"
"2","PBCT"
"3","MSFT"
"4","DLTR"
"5","SRE"
"6","T"
"7","LDOS"
"8","FCX"
"9","AVY"
"10","TPR"
"11","UAA"
"12","ARE"
"13","LNT"
"14","SIVB"
"15","NEE"
"16","PEAK"
"17","VRSK"
"18","USB"
"19","AJG"
"20","SEE"
"21","PWR"
"22","MA"
"23","MOS"
"24","KR"
"25","BKR"
"26","EL"
"27","NTAP"
"28","COST"
"29","WMB"
"30","WST"
"31","A"
"32","TMO"
"33","ANTM"
"34","GIS"
"35","ROST"
"36","BR"
"37","DFS"
"38","MCO"
"39","TROW"
"40","AAPL"
"41","LIN"
"42","BBWI"
"43","TGT"
"44","MGM"
"45","CMI"
"46","TFC"
"47","MMM"
"48","UNH"
"49","NOC"
"50","WELL"
"51","ROP"
"52","RCL"
"53","XRAY"
"54","NDSN"
"55","MET"
"56","HAS"
"57","DOV"
"58","TSN"
"59","CAH"
"60","CMS"
"61","PSA"
"62","SWK"
"63","ADSK"
"64","AMD"
"65","HSY"
"66","MPWR"
"67","MSCI"
"68","WAB"
"69","D"
"70","CPB"
"71","WMT"
"72","WHR"
"73","POOL"
"74","MCHP"
"75","UDR"
"76","PXD"
"77","CSX"
"78","KMX"
"79","DVA"
"80","SCHW"
"81","CCL"
"82","CLX"
"83","ORLY"
"84","CB"
"85","DG"
"86","NKE"
"87","L"
"88","EXPD"
"89","RHI"
"90","NWL"
"91","O"
"92","PKG"
"93","ABMD"
"94","FIS"
"95","CMCSA"
"96","TAP"
"97","CPRT"
"98","GS"
"99","COF"
"100","UPS"
"101","PVH"
"102","APA"
"103","EQIX"
"104","F"
"105","ISRG"
"106","IDXX"
"107","CTXS"
"108","EXPE"
"109","NTRS"
"110","MAR"
"111","MNST"
"112","PGR"
"113","LKQ"
"114","STZ"
"115","EBAY"
"116","PNR"
"117","PFG"
"118","GPC"
"119","PNW"
"120","GRMN"
"121","CTAS"
"122","JKHY"
"123","WDC"
"124","NRG"
"125","PFE"
"126","EVRG"
"127","VNO"
"128","GNRC"
"129","BAC"
"130","PHM"
"131","KLAC"
"132","REGN"
"133","BEN"
"134","NI"
"135","ABC"
"136","RE"
"137","JNJ"
"138","VRTX"
"139","PH"
"140","ALK"
"141","MTB"
"142","INCY"
"143","PEP"
"144","ZBH"
"145","DISH"
"146","IT"
"147","BK"
"148","WM"
"149","RTX"
"150","CMG"
"151","MCD"
"152","LVS"
"153","REG"
"154","GLW"
"155","AOS"
"156","AME"
"157","QCOM"
"158","COO"
"159","AMZN"
"160","BWA"
"161","DVN"
"162","IFF"
"163","CDNS"
"164","TMUS"
"165","PKI"
"166","FAST"
"167","DTE"
"168","AVGO"
"169","TJX"
"170","APH"
"171","IVZ"
"172","K"
"173","MDT"
"174","SHW"
"175","MU"
"176","ES"
"177","BIO"
"178","HON"
"179","LRCX"
"180","VZ"
"181","NSC"
"182","ILMN"
"183","HD"
"184","VMC"
"185","DRE"
"186","CME"
"187","ANSS"
"188","CRM"
"189","GILD"
"190","AMP"
"191","AEE"
"192","MO"
"193","DAL"
"194","LUMN"
"195","GD"
"196","STE"
"197","MS"
"198","OXY"
"199","TER"
"200","IPG"
"201","FMC"
"202","SLB"
"203","HPQ"
"204","XOM"
"205","ALL"
"206","ITW"
"207","ZION"
"208","UNP"
"209","AKAM"
"210","PNC"
"211","BLL"
"212","CHTR"
"213","TDG"
"214","ESS"
"215","MKC"
"216","LMT"
"217","AIZ"
"218","CRL"
"219","ADP"
"220","ETN"
"221","AAL"
"222","RL"
"223","TFX"
"224","SPG"
"225","RSG"
"226","TXT"
"227","BKNG"
"228","IEX"
"229","TYL"
"230","PARA"
"231","CBRE"
"232","NVDA"
"233","EFX"
"234","HIG"
"235","LEN"
"236","DGX"
"237","FDX"
"238","WEC"
"239","ZBRA"
"240","HES"
"241","OKE"
"242","GL"
"243","ETR"
"244","INTC"
"245","MSI"
"246","CHD"
"247","TTWO"
"248","ADI"
"249","TSCO"
"250","LOW"
