"","x"
"1","CAT"
"2","ETR"
"3","WELL"
"4","DE"
"5","BKR"
"6","TRMB"
"7","PPL"
"8","LNC"
"9","FISV"
"10","RCL"
"11","CDNS"
"12","TYL"
"13","WTW"
"14","TSN"
"15","AMAT"
"16","MRO"
"17","DPZ"
"18","NEE"
"19","RTX"
"20","APA"
"21","MMC"
"22","UPS"
"23","NVDA"
"24","NSC"
"25","CME"
"26","LKQ"
"27","DFS"
"28","PEAK"
"29","ADI"
"30","MSFT"
"31","MHK"
"32","ANSS"
"33","GPC"
"34","HON"
"35","MGM"
"36","INCY"
"37","EQIX"
"38","SWK"
"39","MCD"
"40","HPQ"
"41","TMO"
"42","AMT"
"43","COO"
"44","FAST"
"45","ROK"
"46","BMY"
"47","LDOS"
"48","ABT"
"49","AMD"
"50","RJF"
"51","MTD"
"52","DG"
"53","BLL"
"54","ATVI"
"55","CPRT"
"56","SRE"
"57","COP"
"58","MCK"
"59","BEN"
"60","TAP"
"61","LH"
"62","CB"
"63","LUV"
"64","HST"
"65","NOC"
"66","IFF"
"67","MKC"
"68","AOS"
"69","BXP"
"70","NRG"
"71","IRM"
"72","AXP"
"73","GOOG"
"74","ULTA"
"75","IBM"
"76","GE"
"77","TRV"
"78","EXC"
"79","L"
"80","URI"
"81","MA"
"82","ZION"
"83","T"
"84","YUM"
"85","MRK"
"86","WAB"
"87","CTXS"
"88","ORLY"
"89","CPB"
"90","UAA"
"91","UHS"
"92","ALB"
"93","HSIC"
"94","GOOGL"
"95","DIS"
"96","LMT"
"97","REG"
"98","SPG"
"99","GRMN"
"100","HBAN"
"101","MKTX"
"102","IP"
"103","RSG"
"104","TEL"
"105","BLK"
"106","PGR"
"107","PRU"
"108","UNH"
"109","LEN"
"110","NTRS"
"111","JNJ"
"112","ANTM"
"113","AME"
"114","PPG"
"115","CI"
"116","AEP"
"117","WYNN"
"118","JPM"
"119","GWW"
"120","DD"
"121","SLB"
"122","A"
"123","ADBE"
"124","AES"
"125","WY"
"126","TT"
"127","RL"
"128","CHTR"
"129","AVGO"
"130","BDX"
"131","EFX"
"132","CL"
"133","VFC"
"134","COST"
"135","BA"
"136","SBAC"
"137","TXN"
"138","TECH"
"139","WHR"
"140","PBCT"
"141","PG"
"142","CCL"
"143","KEY"
"144","PH"
"145","CBRE"
"146","HUM"
"147","VTRS"
"148","HRL"
"149","FTNT"
"150","DVN"
"151","MPWR"
"152","CNP"
"153","BIO"
"154","EOG"
"155","ETN"
"156","J"
"157","DHR"
"158","PEG"
"159","EMR"
"160","DXC"
"161","PNC"
"162","BWA"
"163","MCHP"
"164","CTSH"
"165","FIS"
"166","AJG"
"167","EIX"
"168","PM"
"169","EW"
"170","TJX"
"171","TMUS"
"172","HSY"
"173","CTAS"
"174","QCOM"
"175","PEP"
"176","ROL"
"177","IPGP"
"178","FRT"
"179","JNPR"
"180","CMS"
"181","HD"
"182","DXCM"
"183","ATO"
"184","MDT"
"185","ADSK"
"186","DAL"
"187","KMX"
"188","CHRW"
"189","HAL"
"190","MAS"
"191","FCX"
"192","VNO"
"193","SYK"
"194","MU"
"195","ITW"
"196","WDC"
"197","ARE"
"198","PHM"
"199","REGN"
"200","DISCK"
"201","MS"
"202","DVA"
"203","UAL"
"204","IVZ"
"205","CE"
"206","NUE"
"207","WM"
"208","CSCO"
"209","PKG"
"210","NTAP"
"211","PENN"
"212","CMI"
"213","EXPE"
"214","WEC"
"215","MTCH"
"216","LUMN"
"217","SPGI"
"218","PKI"
"219","FDX"
"220","ZBRA"
"221","WFC"
"222","SNPS"
"223","ADM"
"224","FITB"
"225","TPR"
"226","ESS"
"227","HIG"
"228","POOL"
"229","MDLZ"
"230","MLM"
"231","AWK"
"232","TXT"
"233","SJM"
"234","ROP"
"235","PFG"
"236","MET"
"237","GIS"
"238","CMA"
"239","AKAM"
"240","IPG"
"241","CTRA"
"242","MCO"
"243","DRE"
"244","MSI"
"245","O"
"246","LRCX"
"247","AON"
"248","UNP"
"249","SO"
"250","LVS"
