"","x"
"1","FITB"
"2","BBWI"
"3","OXY"
"4","CAH"
"5","RCL"
"6","PTC"
"7","CTRA"
"8","WY"
"9","MGM"
"10","BIIB"
"11","LVS"
"12","ROP"
"13","CRM"
"14","MA"
"15","EXPE"
"16","RJF"
"17","AXP"
"18","LOW"
"19","ETR"
"20","LNT"
"21","ROST"
"22","VZ"
"23","NWL"
"24","CINF"
"25","EXC"
"26","EFX"
"27","CERN"
"28","CME"
"29","GOOGL"
"30","MU"
"31","AEE"
"32","GD"
"33","NEM"
"34","YUM"
"35","VRTX"
"36","J"
"37","HAL"
"38","MRK"
"39","LLY"
"40","FDX"
"41","SNPS"
"42","MDLZ"
"43","BKR"
"44","DOV"
"45","HIG"
"46","VRSN"
"47","GPC"
"48","PH"
"49","T"
"50","NDSN"
"51","CMI"
"52","VMC"
"53","CI"
"54","MCHP"
"55","CHD"
"56","PVH"
"57","AVGO"
"58","TPR"
"59","PBCT"
"60","IDXX"
"61","O"
"62","MOS"
"63","COST"
"64","BLK"
"65","AAPL"
"66","AJG"
"67","WM"
"68","MSCI"
"69","TDG"
"70","TT"
"71","ULTA"
"72","INCY"
"73","MOH"
"74","CTAS"
"75","NI"
"76","MAA"
"77","IFF"
"78","PPG"
"79","PENN"
"80","TRMB"
"81","REGN"
"82","WAT"
"83","APA"
"84","TFX"
"85","SBAC"
"86","ODFL"
"87","MPWR"
"88","ZBH"
"89","GILD"
"90","WBA"
"91","LDOS"
"92","GPN"
"93","EIX"
"94","TROW"
"95","RTX"
"96","TMUS"
"97","CLX"
"98","MNST"
"99","HD"
"100","CF"
"101","DAL"
"102","DE"
"103","JPM"
"104","DXCM"
"105","STZ"
"106","PARA"
"107","ABMD"
"108","BWA"
"109","HSY"
"110","VLO"
"111","FRT"
"112","DPZ"
"113","NOC"
"114","HAS"
"115","IT"
"116","NLOK"
"117","HPQ"
"118","AMGN"
"119","CMA"
"120","MCO"
"121","JNPR"
"122","VTRS"
"123","IVZ"
"124","RMD"
"125","FTNT"
"126","WEC"
"127","FMC"
"128","ALB"
"129","DISCK"
"130","EOG"
"131","MO"
"132","SPGI"
"133","UDR"
"134","AMAT"
"135","GOOG"
"136","SBUX"
"137","ADBE"
"138","AME"
"139","MMC"
"140","DTE"
"141","GNRC"
"142","PGR"
"143","AVY"
"144","BA"
"145","IRM"
"146","PLD"
"147","OKE"
"148","PWR"
"149","GRMN"
"150","IBM"
"151","WFC"
"152","BR"
"153","ALGN"
"154","WYNN"
"155","MTD"
"156","MCK"
"157","HST"
"158","VFC"
"159","HOLX"
"160","K"
"161","EMR"
"162","LH"
"163","PEG"
"164","DVA"
"165","NSC"
"166","POOL"
"167","CVX"
"168","TGT"
"169","MSI"
"170","CBRE"
"171","ADM"
"172","CSCO"
"173","AES"
"174","CRL"
"175","TXT"
"176","CTSH"
"177","AZO"
"178","NDAQ"
"179","WDC"
"180","AMD"
"181","DG"
"182","COF"
"183","DRE"
"184","PM"
"185","WST"
"186","SHW"
"187","SWK"
"188","DD"
"189","TSCO"
"190","NRG"
"191","FISV"
"192","LHX"
"193","JCI"
"194","NKE"
"195","TRV"
"196","RE"
"197","ROL"
"198","PEAK"
"199","ORLY"
"200","DLR"
"201","EQR"
"202","AON"
"203","EVRG"
"204","EBAY"
"205","ETN"
"206","CL"
"207","PEP"
"208","DRI"
"209","ORCL"
"210","LYV"
"211","TMO"
"212","TEL"
"213","UHS"
"214","WMB"
"215","SNA"
"216","JKHY"
"217","WAB"
"218","ROK"
"219","TYL"
"220","VRSK"
"221","FAST"
"222","MSFT"
"223","KIM"
"224","CAG"
"225","PPL"
"226","TSN"
"227","VNO"
"228","NUE"
"229","AWK"
"230","KMX"
"231","ANSS"
"232","ED"
"233","CTXS"
"234","HES"
"235","APD"
"236","FE"
"237","DIS"
"238","INTU"
"239","PKI"
"240","HRL"
"241","AMT"
"242","EMN"
"243","MLM"
"244","MRO"
"245","PG"
"246","IPG"
"247","KEY"
"248","CCL"
"249","BAC"
"250","NTAP"
