"","x"
"1","F"
"2","CSX"
"3","OKE"
"4","DFS"
"5","ITW"
"6","MRO"
"7","BEN"
"8","VRSK"
"9","ACN"
"10","CAH"
"11","DVN"
"12","LUV"
"13","IT"
"14","CVX"
"15","GD"
"16","DRI"
"17","IVZ"
"18","JPM"
"19","LOW"
"20","FDS"
"21","CPRT"
"22","SHW"
"23","ADSK"
"24","MTB"
"25","GLW"
"26","NRG"
"27","GWW"
"28","HUM"
"29","REG"
"30","RTX"
"31","LNT"
"32","DE"
"33","AMT"
"34","TECH"
"35","NVDA"
"36","MSFT"
"37","RF"
"38","TJX"
"39","PG"
"40","ANSS"
"41","SJM"
"42","IDXX"
"43","NLOK"
"44","O"
"45","REGN"
"46","DG"
"47","WHR"
"48","GOOG"
"49","CMI"
"50","HPQ"
"51","CAG"
"52","AMGN"
"53","EXPE"
"54","DIS"
"55","WBA"
"56","DUK"
"57","IRM"
"58","AMAT"
"59","APH"
"60","J"
"61","AAP"
"62","RCL"
"63","KEY"
"64","PXD"
"65","HSIC"
"66","LVS"
"67","FISV"
"68","VRTX"
"69","GL"
"70","BIIB"
"71","AIZ"
"72","V"
"73","CINF"
"74","SBAC"
"75","PKG"
"76","INTU"
"77","NDSN"
"78","ISRG"
"79","L"
"80","LUMN"
"81","TRV"
"82","MNST"
"83","DOV"
"84","HSY"
"85","ADBE"
"86","ROST"
"87","CPB"
"88","EQIX"
"89","AME"
"90","MTCH"
"91","MSCI"
"92","ROK"
"93","INTC"
"94","TFX"
"95","LRCX"
"96","TDG"
"97","FCX"
"98","EXPD"
"99","YUM"
"100","LKQ"
"101","MHK"
"102","BLK"
"103","CERN"
"104","MA"
"105","PEG"
"106","PM"
"107","AFL"
"108","T"
"109","ARE"
"110","NDAQ"
"111","KIM"
"112","WRB"
"113","EMR"
"114","MLM"
"115","HRL"
"116","PTC"
"117","COO"
"118","MCD"
"119","CTSH"
"120","EOG"
"121","RL"
"122","CVS"
"123","DGX"
"124","ZBRA"
"125","ATVI"
"126","VLO"
"127","NI"
"128","HOLX"
"129","BKNG"
"130","RE"
"131","TGT"
"132","AOS"
"133","ZBH"
"134","EQR"
"135","ALGN"
"136","BSX"
"137","LDOS"
"138","QCOM"
"139","TMO"
"140","SNA"
"141","GNRC"
"142","PPG"
"143","BAC"
"144","CHRW"
"145","ROP"
"146","NKE"
"147","GE"
"148","DPZ"
"149","VFC"
"150","CCL"
"151","TXT"
"152","VTRS"
"153","STZ"
"154","KR"
"155","ORCL"
"156","NEM"
"157","WTW"
"158","AON"
"159","JCI"
"160","FITB"
"161","FE"
"162","AVB"
"163","WAT"
"164","COF"
"165","DLR"
"166","RMD"
"167","WEC"
"168","EW"
"169","RHI"
"170","BAX"
"171","UAL"
"172","TT"
"173","BLL"
"174","MAS"
"175","VZ"
"176","PRU"
"177","PFE"
"178","JBHT"
"179","FFIV"
"180","POOL"
"181","UHS"
"182","BWA"
"183","EL"
"184","MCK"
"185","PVH"
"186","COST"
"187","MCHP"
"188","ADP"
"189","PNR"
"190","CSCO"
"191","CMS"
"192","PHM"
"193","IP"
"194","GPN"
"195","TRMB"
"196","SEE"
"197","CNC"
"198","MTD"
"199","LIN"
"200","GOOGL"
"201","XRAY"
"202","BBWI"
"203","RJF"
"204","D"
"205","NFLX"
"206","TDY"
"207","TAP"
"208","ALL"
"209","MS"
"210","MCO"
"211","CF"
"212","CAT"
"213","SO"
"214","UAA"
"215","EFX"
"216","EMN"
"217","CMA"
"218","STT"
"219","TSN"
"220","JNJ"
"221","PNC"
"222","CBRE"
"223","ANTM"
"224","OXY"
"225","ABT"
"226","AES"
"227","WMB"
"228","APD"
"229","HD"
"230","MET"
"231","PPL"
"232","ADM"
"233","IEX"
"234","WST"
"235","VRSN"
"236","DRE"
"237","EVRG"
"238","HBAN"
"239","DD"
"240","NSC"
"241","OMC"
"242","CE"
"243","LYV"
"244","SCHW"
"245","ALB"
"246","GIS"
"247","AWK"
"248","UPS"
"249","BKR"
"250","AKAM"
