"","x"
"1","IPG"
"2","WTW"
"3","ADM"
"4","PCAR"
"5","VMC"
"6","GNRC"
"7","MDLZ"
"8","SYK"
"9","APD"
"10","PH"
"11","BK"
"12","TYL"
"13","AZO"
"14","CRM"
"15","PKG"
"16","ED"
"17","TER"
"18","TDG"
"19","D"
"20","RHI"
"21","JBHT"
"22","EBAY"
"23","ALB"
"24","EL"
"25","TSCO"
"26","OMC"
"27","NKE"
"28","DVN"
"29","L"
"30","TMUS"
"31","MU"
"32","BMY"
"33","NDAQ"
"34","CPB"
"35","NEM"
"36","BR"
"37","CHTR"
"38","INTC"
"39","EXC"
"40","IRM"
"41","GLW"
"42","WY"
"43","MDT"
"44","MAA"
"45","A"
"46","SLB"
"47","FFIV"
"48","SBUX"
"49","VRSK"
"50","TT"
"51","AEE"
"52","ISRG"
"53","AES"
"54","AON"
"55","WHR"
"56","ANTM"
"57","SPGI"
"58","RE"
"59","SBNY"
"60","PM"
"61","SCHW"
"62","HRL"
"63","GIS"
"64","GILD"
"65","FE"
"66","ROST"
"67","RL"
"68","TFX"
"69","AAL"
"70","BA"
"71","GWW"
"72","PNC"
"73","UAL"
"74","HPQ"
"75","RF"
"76","EXR"
"77","LNT"
"78","HES"
"79","ADP"
"80","KO"
"81","WYNN"
"82","MTB"
"83","WELL"
"84","CL"
"85","QCOM"
"86","NTAP"
"87","AVGO"
"88","NTRS"
"89","MA"
"90","TMO"
"91","MGM"
"92","LH"
"93","ORCL"
"94","NWL"
"95","WMB"
"96","AMD"
"97","IPGP"
"98","UNH"
"99","CF"
"100","COP"
"101","REGN"
"102","MHK"
"103","EXPD"
"104","EMR"
"105","PNW"
"106","C"
"107","MSI"
"108","BEN"
"109","BIO"
"110","AEP"
"111","AAP"
"112","BSX"
"113","VTRS"
"114","GOOG"
"115","EFX"
"116","BRO"
"117","SHW"
"118","CAG"
"119","DHR"
"120","VFC"
"121","PNR"
"122","OKE"
"123","HST"
"124","PSA"
"125","JPM"
"126","CTAS"
"127","FMC"
"128","ADI"
"129","MOH"
"130","DRI"
"131","MS"
"132","EW"
"133","PBCT"
"134","CTRA"
"135","CME"
"136","CTXS"
"137","PGR"
"138","MKC"
"139","FIS"
"140","AIZ"
"141","PENN"
"142","EMN"
"143","RTX"
"144","LDOS"
"145","SWKS"
"146","SYY"
"147","PWR"
"148","CMA"
"149","PARA"
"150","JKHY"
"151","WST"
"152","FITB"
"153","LEN"
"154","XOM"
"155","SEE"
"156","WAT"
"157","STX"
"158","ALK"
"159","FTNT"
"160","COF"
"161","APH"
"162","SNPS"
"163","CLX"
"164","KLAC"
"165","RMD"
"166","FDX"
"167","NDSN"
"168","NSC"
"169","ICE"
"170","ALGN"
"171","AOS"
"172","F"
"173","LNC"
"174","ILMN"
"175","UNP"
"176","TRMB"
"177","TTWO"
"178","ETR"
"179","ABC"
"180","AAPL"
"181","GRMN"
"182","MAS"
"183","PAYX"
"184","WAB"
"185","IT"
"186","BLL"
"187","MO"
"188","ESS"
"189","CAT"
"190","CHD"
"191","PPL"
"192","MTD"
"193","APA"
"194","MSFT"
"195","PPG"
"196","CE"
"197","EA"
"198","DAL"
"199","AXP"
"200","TSN"
"201","NFLX"
"202","VLO"
"203","INTU"
"204","AJG"
"205","YUM"
"206","T"
"207","J"
"208","AVY"
"209","WMT"
"210","CSCO"
"211","RJF"
"212","HOLX"
"213","ITW"
"214","TXT"
"215","MCHP"
"216","HAS"
"217","CRL"
"218","DTE"
"219","DRE"
"220","WDC"
"221","XEL"
"222","MMM"
"223","DPZ"
"224","EIX"
"225","SO"
"226","AFL"
"227","BLK"
"228","DXC"
"229","TDY"
"230","HON"
"231","PVH"
"232","CAH"
"233","HSY"
"234","ZBH"
"235","VRSN"
"236","VZ"
"237","CCI"
"238","MLM"
"239","AVB"
"240","BXP"
"241","ROL"
"242","RCL"
"243","COST"
"244","DISCA"
"245","K"
"246","CVS"
"247","LVS"
"248","KMB"
"249","WFC"
"250","PEG"
