"","x"
"1","ULTA"
"2","EVRG"
"3","AWK"
"4","ANSS"
"5","BLL"
"6","NLOK"
"7","AVB"
"8","BIO"
"9","PG"
"10","T"
"11","TXN"
"12","ODFL"
"13","VTRS"
"14","GWW"
"15","EW"
"16","DHR"
"17","AMGN"
"18","WEC"
"19","PFE"
"20","NI"
"21","BA"
"22","PNW"
"23","GE"
"24","DVN"
"25","TXT"
"26","HPQ"
"27","MCD"
"28","AIZ"
"29","PHM"
"30","CVX"
"31","HES"
"32","GS"
"33","NOC"
"34","CTAS"
"35","SIVB"
"36","IEX"
"37","CCL"
"38","MKTX"
"39","ADM"
"40","SBAC"
"41","ITW"
"42","ADSK"
"43","MCK"
"44","TYL"
"45","TSN"
"46","CERN"
"47","CAT"
"48","IDXX"
"49","MSI"
"50","CSX"
"51","V"
"52","GNRC"
"53","JPM"
"54","CLX"
"55","DVA"
"56","ROL"
"57","TAP"
"58","IT"
"59","NDSN"
"60","DRE"
"61","AMT"
"62","WFC"
"63","INCY"
"64","DXCM"
"65","FDX"
"66","ABT"
"67","AAL"
"68","PAYX"
"69","BKR"
"70","RCL"
"71","ICE"
"72","ILMN"
"73","SPG"
"74","AES"
"75","PARA"
"76","JBHT"
"77","TDY"
"78","POOL"
"79","MAS"
"80","VFC"
"81","FE"
"82","BIIB"
"83","AAPL"
"84","KMX"
"85","CDNS"
"86","SHW"
"87","WST"
"88","NKE"
"89","EQIX"
"90","GD"
"91","PEP"
"92","MU"
"93","UAA"
"94","UAL"
"95","ARE"
"96","D"
"97","LRCX"
"98","TFC"
"99","ORCL"
"100","AMAT"
"101","MA"
"102","FAST"
"103","IPGP"
"104","CE"
"105","TPR"
"106","VRSK"
"107","LIN"
"108","WHR"
"109","DTE"
"110","EMN"
"111","SO"
"112","STE"
"113","MRO"
"114","MMM"
"115","VNO"
"116","ETR"
"117","NTAP"
"118","O"
"119","C"
"120","SNPS"
"121","CL"
"122","AEE"
"123","MTD"
"124","GRMN"
"125","SNA"
"126","KR"
"127","HOLX"
"128","COF"
"129","IRM"
"130","ALL"
"131","NVR"
"132","UNH"
"133","FITB"
"134","HAS"
"135","PNC"
"136","UNP"
"137","MDLZ"
"138","BDX"
"139","JNJ"
"140","SJM"
"141","SLB"
"142","EXC"
"143","ZION"
"144","PEAK"
"145","REG"
"146","CMCSA"
"147","NVDA"
"148","KMB"
"149","SYY"
"150","AKAM"
"151","AVY"
"152","JNPR"
"153","CBRE"
"154","MTB"
"155","TMO"
"156","GILD"
"157","PLD"
"158","EOG"
"159","CNC"
"160","UHS"
"161","RJF"
"162","CHRW"
"163","CRL"
"164","COP"
"165","PFG"
"166","PKI"
"167","BK"
"168","USB"
"169","MOS"
"170","PKG"
"171","BWA"
"172","NEE"
"173","ADP"
"174","GPC"
"175","WELL"
"176","AME"
"177","ESS"
"178","BSX"
"179","DISCA"
"180","IFF"
"181","AJG"
"182","HD"
"183","KEY"
"184","ETN"
"185","CF"
"186","LYV"
"187","CMI"
"188","BR"
"189","VTR"
"190","WAT"
"191","BAX"
"192","HAL"
"193","DXC"
"194","CMA"
"195","PH"
"196","RL"
"197","LMT"
"198","GOOGL"
"199","DRI"
"200","EMR"
"201","CPRT"
"202","ABMD"
"203","DHI"
"204","APD"
"205","GIS"
"206","MDT"
"207","HIG"
"208","AMD"
"209","NDAQ"
"210","DE"
"211","LHX"
"212","WMB"
"213","AVGO"
"214","ATVI"
"215","CINF"
"216","PPG"
"217","ALK"
"218","BKNG"
"219","FDS"
"220","WM"
"221","CMS"
"222","NFLX"
"223","ALGN"
"224","PNR"
"225","CAH"
"226","WDC"
"227","BLK"
"228","MCO"
"229","DUK"
"230","DPZ"
"231","ROP"
"232","FMC"
"233","RSG"
"234","KLAC"
"235","CTXS"
"236","LOW"
"237","J"
"238","CMG"
"239","WY"
"240","MKC"
"241","WTW"
"242","LUMN"
"243","MS"
"244","CME"
"245","MSCI"
"246","EQR"
"247","PCAR"
"248","PBCT"
"249","FFIV"
"250","TDG"
