"","x"
"1","PFE"
"2","LOW"
"3","EXC"
"4","MRK"
"5","WFC"
"6","JPM"
"7","NVDA"
"8","MDT"
"9","FDX"
"10","DHR"
"11","BKNG"
"12","AIG"
"13","AXP"
"14","BMY"
"15","CRM"
"16","RTX"
"17","JNJ"
"18","AMT"
"19","CAT"
"20","GS"
