"","x"
"1","GWW"
"2","ETR"
"3","ADBE"
"4","AVGO"
"5","SBAC"
"6","WHR"
"7","DAL"
"8","HUM"
"9","XRAY"
"10","DRE"
"11","SBUX"
"12","DRI"
"13","PTC"
"14","VFC"
"15","BA"
"16","TPR"
"17","CMG"
"18","TTWO"
"19","NFLX"
"20","DIS"
"21","TFC"
"22","ACN"
"23","EXC"
"24","BXP"
"25","CCI"
"26","SJM"
"27","LLY"
"28","MTB"
"29","AIZ"
"30","RTX"
"31","PH"
"32","ES"
"33","ROL"
"34","DTE"
"35","PLD"
"36","MRK"
"37","ROST"
"38","TROW"
"39","SO"
"40","VZ"
"41","AIG"
"42","JPM"
"43","PG"
"44","AEP"
"45","MAA"
"46","IEX"
"47","PEP"
"48","RHI"
"49","BAX"
"50","TT"
"51","IPG"
"52","EMN"
"53","GOOGL"
"54","BMY"
"55","C"
"56","CAG"
"57","ALB"
"58","HD"
"59","DXCM"
"60","UNH"
"61","GIS"
"62","EL"
"63","TXT"
"64","DISCK"
"65","FAST"
"66","MMM"
"67","CVS"
"68","DVA"
"69","IPGP"
"70","ORCL"
"71","ZBH"
"72","YUM"
"73","STT"
"74","RF"
"75","AME"
"76","DD"
"77","MDT"
"78","EXPD"
"79","SYY"
"80","FRT"
"81","TGT"
"82","CTRA"
"83","FFIV"
"84","ANSS"
"85","MSFT"
"86","XOM"
"87","INCY"
"88","TYL"
"89","ULTA"
"90","AMGN"
"91","ED"
"92","ETN"
"93","SNPS"
"94","CE"
"95","LVS"
"96","GOOG"
"97","PNW"
"98","EMR"
"99","REG"
"100","SRE"
"101","K"
"102","NSC"
"103","MKTX"
"104","USB"
"105","MAR"
"106","A"
"107","PAYX"
"108","CHRW"
"109","J"
"110","GS"
"111","ZBRA"
"112","SCHW"
"113","BK"
"114","CPB"
"115","JKHY"
"116","MOH"
"117","OKE"
"118","INTU"
"119","LHX"
"120","DHI"
"121","PWR"
"122","IDXX"
"123","PM"
"124","WY"
"125","MOS"
"126","DOV"
"127","TSCO"
"128","LUV"
"129","HOLX"
"130","ABT"
"131","FCX"
"132","STZ"
"133","AKAM"
"134","GPC"
"135","XEL"
"136","CPRT"
"137","RJF"
"138","TEL"
"139","CNP"
"140","RE"
"141","MU"
"142","VLO"
"143","STX"
"144","CCL"
"145","ODFL"
"146","UNP"
"147","IRM"
"148","JBHT"
"149","AON"
"150","GE"
"151","ROK"
"152","MCO"
"153","AOS"
"154","TMO"
"155","KR"
"156","TAP"
"157","PBCT"
"158","IBM"
"159","HSY"
"160","VMC"
"161","BIIB"
"162","BAC"
"163","PEAK"
"164","PSA"
"165","HPQ"
"166","BSX"
"167","FE"
"168","TECH"
"169","DE"
"170","APH"
"171","KMB"
"172","CMA"
"173","LOW"
"174","DGX"
"175","CSCO"
"176","RSG"
"177","SPG"
"178","MSCI"
"179","IP"
"180","ALL"
"181","BLL"
"182","CVX"
"183","FISV"
"184","PFG"
"185","REGN"
"186","EA"
"187","ABMD"
"188","DPZ"
"189","MNST"
"190","KIM"
"191","BKNG"
"192","TER"
"193","ABC"
"194","HRL"
"195","BKR"
"196","BEN"
"197","MS"
"198","AMP"
"199","EXR"
"200","NOC"
"201","PPG"
"202","PPL"
"203","HAL"
"204","COF"
"205","NRG"
"206","MSI"
"207","CSX"
"208","EOG"
"209","SEE"
"210","PNC"
"211","LUMN"
"212","CAH"
"213","TSN"
"214","JCI"
"215","HIG"
"216","TRMB"
"217","HAS"
"218","AES"
"219","CB"
"220","FITB"
"221","WAB"
"222","CTAS"
"223","CAT"
"224","KMX"
"225","COP"
"226","MCD"
"227","SWK"
"228","WRB"
"229","KO"
"230","CTSH"
"231","GILD"
"232","HBAN"
"233","BR"
"234","EQR"
"235","COO"
"236","TDG"
"237","FDX"
"238","WYNN"
"239","SHW"
"240","ITW"
"241","JNPR"
"242","GD"
"243","ZION"
"244","NDAQ"
"245","UPS"
"246","MKC"
"247","ALK"
"248","WELL"
"249","NLOK"
"250","CF"
