"","x"
"1","FITB"
"2","WEC"
"3","AIG"
"4","AMZN"
"5","PFG"
"6","NVDA"
"7","CB"
"8","XOM"
"9","WAT"
"10","CNC"
"11","DIS"
"12","TT"
"13","CMI"
"14","PCAR"
"15","ACN"
"16","HSIC"
"17","EXR"
"18","IPGP"
"19","WAB"
"20","CBRE"
"21","ROST"
"22","CSCO"
"23","MU"
"24","MKC"
"25","DE"
"26","ADSK"
"27","AOS"
"28","GWW"
"29","UDR"
"30","ALGN"
"31","NEM"
"32","CTAS"
"33","CAH"
"34","VLO"
"35","SYY"
"36","CRM"
"37","URI"
"38","PM"
"39","GRMN"
"40","NVR"
"41","WRB"
"42","KEY"
"43","PFE"
"44","BAX"
"45","CTRA"
"46","WST"
"47","RE"
"48","LUV"
"49","BXP"
"50","MDT"
"51","DAL"
"52","RL"
"53","VRSK"
"54","CI"
"55","ADI"
"56","SLB"
"57","WY"
"58","AIZ"
"59","QCOM"
"60","XEL"
"61","T"
"62","PHM"
"63","MET"
"64","NSC"
"65","AMGN"
"66","EVRG"
"67","EXC"
"68","HIG"
"69","DLTR"
"70","AJG"
"71","DRI"
"72","MDLZ"
"73","AZO"
"74","OXY"
"75","IRM"
"76","USB"
"77","TJX"
"78","XRAY"
"79","SWKS"
"80","UAL"
"81","KMX"
"82","EXPD"
"83","WTW"
"84","SNA"
"85","ATO"
"86","MRO"
"87","REGN"
"88","SNPS"
"89","BDX"
"90","HBAN"
"91","LNC"
"92","LNT"
"93","VMC"
"94","FAST"
"95","ED"
"96","NLOK"
"97","ORLY"
"98","ADBE"
"99","MTB"
"100","ADP"
"101","ALK"
"102","BBWI"
"103","MCHP"
"104","AVY"
"105","MS"
"106","MA"
"107","EFX"
"108","LUMN"
"109","CHTR"
"110","DXC"
"111","PGR"
"112","TRMB"
"113","BLL"
"114","BKNG"
"115","SPG"
"116","NDSN"
"117","PEP"
"118","AVGO"
"119","ROP"
"120","DISCK"
"121","ALB"
"122","KR"
"123","VFC"
"124","JNPR"
"125","GD"
"126","PKG"
"127","RF"
"128","LKQ"
"129","BR"
"130","CF"
"131","CLX"
"132","TER"
"133","MOS"
"134","FMC"
"135","ADM"
"136","F"
"137","ETN"
"138","UPS"
"139","CHD"
"140","HD"
"141","DISCA"
"142","SBNY"
"143","REG"
"144","TYL"
"145","JPM"
"146","IVZ"
"147","JCI"
"148","ECL"
"149","D"
"150","WM"
"151","EA"
"152","WBA"
"153","GNRC"
"154","MOH"
"155","SBAC"
"156","VTRS"
"157","INCY"
"158","IPG"
"159","WMB"
"160","RMD"
"161","PG"
"162","HRL"
"163","AXP"
"164","COF"
"165","VRTX"
"166","LYV"
"167","FE"
"168","VNO"
"169","CMS"
"170","SHW"
"171","HAS"
"172","FTNT"
"173","MPWR"
"174","AAL"
"175","K"
"176","DGX"
"177","RHI"
"178","TECH"
"179","PEAK"
"180","CTXS"
"181","DOV"
"182","LVS"
"183","MGM"
"184","CDNS"
"185","IP"
"186","ROK"
"187","DVA"
"188","MCK"
"189","SEE"
"190","ABMD"
"191","EQIX"
"192","TXT"
"193","APA"
"194","ODFL"
"195","MTD"
"196","VRSN"
"197","CVS"
"198","LOW"
"199","BSX"
"200","CPRT"
"201","STX"
"202","ZBRA"
"203","TPR"
"204","TSCO"
"205","CSX"
"206","MHK"
"207","PVH"
"208","EL"
"209","TRV"
"210","NKE"
"211","SO"
"212","MCD"
"213","DVN"
"214","NOC"
"215","RTX"
"216","GIS"
"217","NWL"
"218","MNST"
"219","HUM"
"220","GOOG"
"221","DISH"
"222","TTWO"
"223","ZBH"
"224","CMCSA"
"225","DLR"
"226","TAP"
"227","JBHT"
"228","MMC"
"229","ETR"
"230","JNJ"
"231","CHRW"
"232","LMT"
"233","RSG"
"234","IDXX"
"235","TSN"
"236","SPGI"
"237","TMUS"
"238","CMA"
"239","ALL"
"240","MLM"
"241","AME"
"242","LRCX"
"243","PSA"
"244","AON"
"245","MKTX"
"246","WELL"
"247","GL"
"248","MAS"
"249","LH"
"250","BIIB"
