"","x"
"1","MDLZ"
"2","NRG"
"3","IT"
"4","NTAP"
"5","XRAY"
"6","MPWR"
"7","AMP"
"8","LMT"
"9","URI"
"10","LKQ"
"11","PNR"
"12","FRT"
"13","EA"
"14","CCI"
"15","RF"
"16","WEC"
"17","WY"
"18","UPS"
"19","O"
"20","SBAC"
"21","ISRG"
"22","REG"
"23","PM"
"24","CSCO"
"25","MRO"
"26","DG"
"27","SBUX"
"28","AMAT"
"29","STT"
"30","T"
"31","NOC"
"32","ED"
"33","CLX"
"34","ULTA"
"35","AAL"
"36","ES"
"37","WAT"
"38","PPL"
"39","TSCO"
"40","AES"
"41","EXPE"
"42","ZBH"
"43","TRV"
"44","DRI"
"45","BRO"
"46","NKE"
"47","FITB"
"48","CMA"
"49","ARE"
"50","LRCX"
"51","CSX"
"52","BMY"
"53","TROW"
"54","TEL"
"55","DGX"
"56","ANSS"
"57","MTCH"
"58","BKNG"
"59","MGM"
"60","WFC"
"61","TAP"
"62","SWKS"
"63","BDX"
"64","MCHP"
"65","BR"
"66","TRMB"
"67","CBRE"
"68","DUK"
"69","POOL"
"70","DFS"
"71","PVH"
"72","LUMN"
"73","INTU"
"74","HSIC"
"75","GPN"
"76","CF"
"77","TER"
"78","MMM"
"79","NEM"
"80","MA"
"81","HOLX"
"82","EW"
"83","A"
"84","APA"
"85","ANTM"
"86","GL"
"87","NFLX"
"88","TT"
"89","AME"
"90","NVR"
"91","WMB"
"92","HES"
"93","NDAQ"
"94","NWL"
"95","PEP"
"96","CB"
"97","ALL"
"98","PPG"
"99","VZ"
"100","CNP"
"101","USB"
"102","PRU"
"103","CE"
"104","F"
"105","RL"
"106","IRM"
"107","JNPR"
"108","FFIV"
"109","BXP"
"110","ADSK"
"111","D"
"112","AEE"
"113","NTRS"
"114","FDS"
"115","PNW"
"116","HD"
"117","MU"
"118","CMI"
"119","ALK"
"120","PWR"
"121","CAH"
"122","KO"
"123","DAL"
"124","PHM"
"125","NDSN"
"126","V"
"127","AVB"
"128","DXCM"
"129","SEE"
"130","GNRC"
"131","PG"
"132","SIVB"
"133","VFC"
"134","CDNS"
"135","CTXS"
"136","SCHW"
"137","ATO"
"138","DISCK"
"139","BLK"
"140","VMC"
"141","EL"
"142","ROST"
"143","EQIX"
"144","TMUS"
"145","AXP"
"146","FDX"
"147","INTC"
"148","AAP"
"149","LOW"
"150","AFL"
"151","PAYX"
"152","AMGN"
"153","ACN"
"154","TYL"
"155","RCL"
"156","WYNN"
"157","GS"
"158","VRSK"
"159","WM"
"160","ECL"
"161","PH"
"162","IVZ"
"163","UAA"
"164","MRK"
"165","EMN"
"166","CVX"
"167","EMR"
"168","AMZN"
"169","SBNY"
"170","HAS"
"171","EIX"
"172","UNP"
"173","CHD"
"174","VRTX"
"175","RSG"
"176","NSC"
"177","RHI"
"178","AON"
"179","MS"
"180","ILMN"
"181","MAA"
"182","MAR"
"183","ESS"
"184","EBAY"
"185","FE"
"186","HPQ"
"187","KMB"
"188","FCX"
"189","CRM"
"190","XOM"
"191","MOH"
"192","IDXX"
"193","WST"
"194","ETN"
"195","AEP"
"196","ALGN"
"197","REGN"
"198","SLB"
"199","PFE"
"200","HON"
"201","SPG"
"202","MAS"
"203","TFC"
"204","ADI"
"205","LDOS"
"206","EFX"
"207","AAPL"
"208","RTX"
"209","BWA"
"210","PKI"
"211","WELL"
"212","GILD"
"213","KIM"
"214","ITW"
"215","EOG"
"216","KR"
"217","PGR"
"218","OMC"
"219","IEX"
"220","HIG"
"221","UNH"
"222","MTB"
"223","TDG"
"224","SRE"
"225","WHR"
"226","HRL"
"227","KEY"
"228","DVN"
"229","RE"
"230","JPM"
"231","MO"
"232","MSI"
"233","FTNT"
"234","SYY"
"235","GOOGL"
"236","MDT"
"237","DE"
"238","DRE"
"239","ABC"
"240","VTRS"
"241","WDC"
"242","AZO"
"243","BIIB"
"244","PARA"
"245","AMT"
"246","ABT"
"247","ROK"
"248","DIS"
"249","AVY"
"250","DTE"
