"","x"
"1","RJF"
"2","ORCL"
"3","CSX"
"4","TXN"
"5","CTXS"
"6","JNJ"
"7","WMB"
"8","CAH"
"9","COF"
"10","VZ"
"11","FFIV"
"12","CVS"
"13","BA"
"14","MCO"
"15","PSA"
"16","JPM"
"17","HAL"
"18","BSX"
"19","AAPL"
"20","TSN"
