"","x"
"1","NUE"
"2","GLW"
"3","REGN"
"4","NVR"
"5","DHR"
"6","PKG"
"7","WAT"
"8","PSA"
"9","SBUX"
"10","HIG"
"11","CSCO"
"12","ECL"
"13","SLB"
"14","BIO"
"15","DIS"
"16","DPZ"
"17","UAA"
"18","NSC"
"19","AXP"
"20","IFF"
"21","INTC"
"22","DRI"
"23","MMM"
"24","ES"
"25","IBM"
"26","CINF"
"27","INCY"
"28","LH"
"29","SPGI"
"30","STE"
"31","CLX"
"32","V"
"33","SJM"
"34","BLK"
"35","AVB"
"36","GPN"
"37","AMGN"
"38","HSY"
"39","PRU"
"40","HAS"
"41","SYK"
"42","POOL"
"43","PKI"
"44","DXCM"
"45","J"
"46","CNP"
"47","PNR"
"48","MPWR"
"49","MO"
"50","FAST"
"51","ICE"
"52","K"
"53","NRG"
"54","KEY"
"55","ANTM"
"56","AES"
"57","ABMD"
"58","HES"
"59","RSG"
"60","CMCSA"
"61","L"
"62","EQR"
"63","CCI"
"64","GNRC"
"65","PHM"
"66","PTC"
"67","CBRE"
"68","AIG"
"69","SIVB"
"70","PXD"
"71","AWK"
"72","VLO"
"73","JNPR"
"74","LOW"
"75","WHR"
"76","SNPS"
"77","WBA"
"78","MLM"
"79","KO"
"80","EXPD"
"81","HSIC"
"82","MS"
"83","VFC"
"84","HAL"
"85","HUM"
"86","QCOM"
"87","SWK"
"88","EL"
"89","DD"
"90","SNA"
"91","ROP"
"92","XOM"
"93","BXP"
"94","HST"
"95","FFIV"
"96","CB"
"97","EOG"
"98","TSCO"
"99","PPG"
"100","ILMN"
"101","GOOGL"
"102","TAP"
"103","GOOG"
"104","WST"
"105","BDX"
"106","DOV"
"107","ORLY"
"108","AVY"
"109","ABC"
"110","NLOK"
"111","WEC"
"112","EBAY"
"113","PWR"
"114","D"
"115","SPG"
"116","JBHT"
"117","MHK"
"118","PNC"
"119","PH"
"120","TROW"
"121","INTU"
"122","WELL"
"123","C"
"124","SO"
"125","EMN"
"126","TXT"
"127","TJX"
"128","MKC"
"129","ZBH"
"130","PEAK"
"131","ALGN"
"132","TEL"
"133","RF"
"134","A"
"135","ROK"
"136","OXY"
"137","ADI"
"138","BLL"
"139","AMZN"
"140","AJG"
"141","URI"
"142","TYL"
"143","MSI"
"144","BKNG"
"145","ORCL"
"146","DLR"
"147","DISH"
"148","UDR"
"149","NDAQ"
"150","BIIB"
"151","PARA"
"152","EMR"
"153","TFX"
"154","FDX"
"155","HBAN"
"156","NTRS"
"157","BRO"
"158","KIM"
"159","MRO"
"160","PPL"
"161","CTRA"
"162","ADBE"
"163","PG"
"164","LUV"
"165","FCX"
"166","NDSN"
"167","FMC"
"168","UHS"
"169","BR"
"170","TRV"
"171","FTNT"
"172","CE"
"173","BWA"
"174","ISRG"
"175","WRB"
"176","MDLZ"
"177","DVA"
"178","FIS"
"179","CAG"
"180","BEN"
"181","MNST"
"182","ADP"
"183","NEE"
"184","IEX"
"185","HD"
"186","IRM"
"187","ZBRA"
"188","EW"
"189","UAL"
"190","DVN"
"191","LKQ"
"192","MOS"
"193","APA"
"194","ODFL"
"195","CF"
"196","RL"
"197","MKTX"
"198","LNT"
"199","MTD"
"200","ACN"
"201","COF"
"202","TXN"
"203","COP"
"204","CRL"
"205","WTW"
"206","BAC"
"207","ALL"
"208","BA"
"209","DUK"
"210","AZO"
"211","DXC"
"212","ALK"
"213","ADSK"
"214","FRT"
"215","WY"
"216","HON"
"217","XRAY"
"218","DRE"
"219","EIX"
"220","STT"
"221","EQIX"
"222","LLY"
"223","CVX"
"224","PNW"
"225","UNH"
"226","STX"
"227","ROL"
"228","CI"
"229","ALB"
"230","AME"
"231","FITB"
"232","MCHP"
"233","T"
"234","TSN"
"235","CHRW"
"236","IPGP"
"237","RE"
"238","CPRT"
"239","MCO"
"240","GS"
"241","CHTR"
"242","TMO"
"243","LMT"
"244","JPM"
"245","F"
"246","MET"
"247","DE"
"248","NTAP"
"249","LRCX"
"250","SBAC"
