"","x"
"1","OXY"
"2","CE"
"3","PKG"
"4","BMY"
"5","CPRT"
"6","HAL"
"7","DUK"
"8","NFLX"
"9","LYV"
"10","ANTM"
"11","ADBE"
"12","HUM"
"13","MCO"
"14","HSIC"
"15","OKE"
"16","JCI"
"17","ADSK"
"18","AWK"
"19","UAL"
"20","TROW"
"21","FMC"
"22","CCI"
"23","SYK"
"24","COST"
"25","WAB"
"26","L"
"27","CLX"
"28","COO"
"29","EBAY"
"30","GOOG"
"31","BXP"
"32","ILMN"
"33","BAC"
"34","CTSH"
"35","HES"
"36","DHR"
"37","TMO"
"38","AVY"
"39","AOS"
"40","ABMD"
"41","BIIB"
"42","CMA"
"43","DG"
"44","DFS"
"45","PCAR"
"46","IBM"
"47","INCY"
"48","EXPD"
"49","NVR"
"50","RTX"
"51","MSI"
"52","ALGN"
"53","SLB"
"54","XRAY"
"55","SO"
"56","ORLY"
"57","PG"
"58","CMCSA"
"59","MA"
"60","ROL"
"61","BA"
"62","GL"
"63","FTNT"
"64","PFE"
"65","NVDA"
"66","LLY"
"67","V"
"68","FDX"
"69","EL"
"70","PEP"
"71","SPGI"
"72","IPG"
"73","ZBRA"
"74","UNH"
"75","SNPS"
"76","SYY"
"77","PPL"
"78","BLK"
"79","URI"
"80","APD"
"81","MAS"
"82","WHR"
"83","SBAC"
"84","SWK"
"85","LEN"
"86","MGM"
"87","PSA"
"88","LUV"
"89","CPB"
"90","MTB"
"91","JBHT"
"92","NTAP"
"93","EOG"
"94","TAP"
"95","IPGP"
"96","AFL"
"97","ABT"
"98","STX"
"99","YUM"
"100","CSX"
"101","VMC"
"102","ED"
"103","C"
"104","MCHP"
"105","RMD"
"106","BRO"
"107","PARA"
"108","CAT"
"109","CNP"
"110","GE"
"111","TJX"
"112","NOC"
"113","HPQ"
"114","PRU"
"115","AVB"
"116","MNST"
"117","CMG"
"118","F"
"119","DXCM"
"120","J"
"121","BLL"
"122","MU"
"123","AES"
"124","SIVB"
"125","CNC"
"126","MSCI"
"127","CHD"
"128","VFC"
"129","GPN"
"130","PWR"
"131","AXP"
"132","PTC"
"133","ROK"
"134","LUMN"
"135","NKE"
"136","PFG"
"137","BAX"
"138","DE"
"139","UNP"
"140","PM"
"141","XOM"
"142","BKNG"
"143","MRK"
"144","CTAS"
"145","LHX"
"146","DXC"
"147","NEE"
"148","O"
"149","RE"
"150","PNC"
"151","NI"
"152","ODFL"
"153","AME"
"154","MRO"
"155","BBWI"
"156","REGN"
"157","AAP"
"158","RCL"
"159","LMT"
"160","SBNY"
"161","DAL"
"162","WAT"
"163","UAA"
"164","PNR"
"165","PBCT"
"166","JPM"
"167","PENN"
"168","NLOK"
"169","WST"
"170","CVS"
"171","LRCX"
"172","GRMN"
"173","ALB"
"174","LNC"
"175","PEG"
"176","WMB"
"177","TPR"
"178","MOH"
"179","LOW"
"180","CMS"
"181","CCL"
"182","EW"
"183","LKQ"
"184","EA"
"185","JKHY"
"186","WEC"
"187","CERN"
"188","NTRS"
"189","APA"
"190","NRG"
"191","GIS"
"192","DIS"
"193","AIZ"
"194","IRM"
"195","TMUS"
"196","CVX"
"197","T"
"198","WM"
"199","ZION"
"200","CBRE"
"201","DISCA"
"202","WDC"
"203","HBAN"
"204","HSY"
"205","DISCK"
"206","WYNN"
"207","BEN"
"208","OMC"
"209","AZO"
"210","ORCL"
"211","NEM"
"212","ULTA"
"213","MDLZ"
"214","SWKS"
"215","MET"
"216","GNRC"
"217","NSC"
"218","CME"
"219","SBUX"
"220","ALL"
"221","EFX"
"222","MO"
"223","TFX"
"224","MDT"
"225","SJM"
"226","HAS"
"227","MSFT"
"228","DOV"
"229","MAA"
"230","BDX"
"231","TSN"
"232","ATVI"
"233","ABC"
"234","MAR"
"235","EMN"
"236","CB"
"237","ALK"
"238","A"
"239","HD"
"240","ACN"
"241","BKR"
"242","CHTR"
"243","KO"
"244","PXD"
"245","TGT"
"246","AMGN"
"247","CHRW"
"248","IDXX"
"249","PLD"
"250","ANSS"
