"","x"
"1","HBAN"
"2","FCX"
"3","ABC"
"4","AEE"
"5","DHI"
"6","TJX"
"7","TXN"
"8","TECH"
"9","HON"
"10","TYL"
"11","SJM"
"12","COF"
"13","TSN"
"14","PHM"
"15","AAP"
"16","TSCO"
"17","BR"
"18","PWR"
"19","HRL"
"20","IDXX"
"21","CE"
"22","VZ"
"23","ROL"
"24","YUM"
"25","PTC"
"26","DUK"
"27","EXPD"
"28","KMB"
"29","LIN"
"30","IT"
"31","ADP"
"32","AFL"
"33","L"
"34","WDC"
"35","VRTX"
"36","ALB"
"37","CNP"
"38","CVX"
"39","AMAT"
"40","BMY"
"41","PLD"
"42","GPC"
"43","POOL"
"44","AMGN"
"45","IEX"
"46","PNR"
"47","FMC"
"48","EXPE"
"49","SHW"
"50","BAC"
"51","USB"
"52","IBM"
"53","WRB"
"54","SYK"
"55","ED"
"56","RSG"
"57","MCK"
"58","NDAQ"
"59","COP"
"60","ALL"
"61","AES"
"62","CPRT"
"63","SCHW"
"64","AKAM"
"65","GS"
"66","CSX"
"67","MSCI"
"68","ES"
"69","ABT"
"70","CMI"
"71","STZ"
"72","ARE"
"73","NLOK"
"74","COST"
"75","ACN"
"76","ECL"
"77","SEE"
"78","CVS"
"79","AAL"
"80","WAB"
"81","WMB"
"82","PEP"
"83","JNJ"
"84","ROK"
"85","BBWI"
"86","MSI"
"87","GE"
"88","DISCK"
"89","MGM"
"90","MAR"
"91","AMD"
"92","NEM"
"93","CMCSA"
"94","APD"
"95","FE"
"96","DD"
"97","AVGO"
"98","LEN"
"99","CDNS"
"100","EOG"
"101","DXCM"
"102","KEY"
"103","RE"
"104","XEL"
"105","ROP"
"106","CMA"
"107","ORCL"
"108","GPN"
"109","TDG"
"110","EQR"
"111","GOOGL"
"112","FFIV"
"113","NRG"
"114","IRM"
"115","HSY"
"116","HPQ"
"117","EQIX"
"118","CMG"
"119","PRU"
"120","LUMN"
"121","DAL"
"122","PM"
"123","SRE"
"124","BKR"
"125","ORLY"
"126","GIS"
"127","MCHP"
"128","CI"
"129","LH"
"130","LNC"
"131","FIS"
"132","CME"
"133","LMT"
"134","CPB"
"135","MAS"
"136","IPG"
"137","ETR"
"138","DE"
"139","PPL"
"140","PXD"
"141","TFX"
"142","TFC"
"143","JNPR"
"144","RCL"
"145","MMM"
"146","PENN"
"147","MTD"
"148","SLB"
"149","TGT"
"150","LYV"
"151","MOH"
"152","NKE"
"153","CL"
"154","WELL"
"155","SNA"
"156","TAP"
"157","ODFL"
"158","EVRG"
"159","BDX"
"160","TRMB"
"161","WEC"
"162","EXR"
"163","C"
"164","SBAC"
"165","DISH"
"166","CRM"
"167","ETN"
"168","HAS"
"169","AAPL"
"170","BRO"
"171","PFG"
"172","ADM"
"173","WYNN"
"174","PVH"
"175","TMO"
"176","PCAR"
"177","CHD"
"178","MAA"
"179","DRE"
"180","DRI"
"181","OKE"
"182","BLL"
"183","OMC"
"184","GOOG"
"185","UHS"
"186","STE"
"187","MKC"
"188","CTRA"
"189","DVA"
"190","DIS"
"191","APH"
"192","ATVI"
"193","TER"
"194","BIO"
"195","AMP"
"196","LLY"
"197","AVB"
"198","ADSK"
"199","MOS"
"200","DPZ"
"201","LUV"
"202","SPG"
"203","PPG"
"204","ICE"
"205","AEP"
"206","LVS"
"207","KR"
"208","EIX"
"209","LKQ"
"210","KIM"
"211","A"
"212","IFF"
"213","SWK"
"214","NTAP"
"215","BXP"
"216","OXY"
"217","MRK"
"218","CTAS"
"219","ZION"
"220","MPWR"
"221","CB"
"222","ANSS"
"223","BIIB"
"224","PGR"
"225","ROST"
"226","ESS"
"227","PARA"
"228","V"
"229","AVY"
"230","SYY"
"231","CAH"
"232","MKTX"
"233","GNRC"
"234","UDR"
"235","CERN"
"236","RHI"
"237","KMX"
"238","REG"
"239","ADBE"
"240","RJF"
"241","FRT"
"242","EMR"
"243","NVR"
"244","FISV"
"245","HIG"
"246","WST"
"247","FTNT"
"248","AJG"
"249","PAYX"
"250","PNC"
