"","x"
"1","MAA"
"2","MNST"
"3","SYK"
"4","INTC"
"5","HAS"
"6","GPC"
"7","CPB"
"8","WYNN"
"9","JKHY"
"10","O"
"11","CMCSA"
"12","NKE"
"13","MAS"
"14","STZ"
"15","ROL"
"16","BKR"
"17","EMR"
"18","CL"
"19","BA"
"20","AMGN"
"21","PEG"
"22","TECH"
"23","PKG"
"24","STT"
"25","TFC"
"26","ECL"
"27","PH"
"28","DXCM"
"29","GS"
"30","RL"
"31","AON"
"32","YUM"
"33","FAST"
"34","ISRG"
"35","SCHW"
"36","VZ"
"37","MLM"
"38","TER"
"39","AAL"
"40","XOM"
"41","ORCL"
"42","DAL"
"43","SPGI"
"44","UPS"
"45","BK"
"46","WELL"
"47","ZBH"
"48","HON"
"49","SEE"
"50","ADM"
"51","JPM"
"52","VRSK"
"53","EIX"
"54","DIS"
"55","TRV"
"56","TMO"
"57","DPZ"
"58","URI"
"59","GOOGL"
"60","FFIV"
"61","ANTM"
"62","RJF"
"63","IPG"
"64","GE"
"65","CCI"
"66","SHW"
"67","GNRC"
"68","CMA"
"69","KLAC"
"70","RMD"
"71","CVX"
"72","ADBE"
"73","STE"
"74","TDY"
"75","VMC"
"76","EA"
"77","HES"
"78","DISH"
"79","PXD"
"80","LLY"
"81","HSY"
"82","LDOS"
"83","APH"
"84","TFX"
"85","EL"
"86","BLL"
"87","HST"
"88","D"
"89","SWKS"
"90","SRE"
"91","GD"
"92","CSCO"
"93","CERN"
"94","REGN"
"95","LVS"
"96","TYL"
"97","GWW"
"98","VTRS"
"99","LHX"
"100","AWK"
"101","MMM"
"102","COF"
"103","VNO"
"104","CVS"
"105","CBRE"
"106","AMT"
"107","SBNY"
"108","LOW"
"109","DXC"
"110","SWK"
"111","PPG"
"112","ZION"
"113","ADI"
"114","MRO"
"115","EFX"
"116","LUV"
"117","RF"
"118","NEE"
"119","ARE"
"120","MO"
"121","DISCK"
"122","ES"
"123","PSA"
"124","APA"
"125","NSC"
"126","COO"
"127","TSCO"
"128","DRE"
"129","KMB"
"130","AME"
"131","DE"
"132","CF"
"133","VTR"
"134","UAL"
"135","WAT"
"136","VLO"
"137","FMC"
"138","OKE"
"139","JBHT"
"140","HD"
"141","VRTX"
"142","BDX"
"143","CHRW"
"144","CDNS"
"145","SYY"
"146","GLW"
"147","ROK"
"148","MCHP"
"149","KR"
"150","EXR"
"151","CSX"
"152","K"
"153","MDT"
"154","INCY"
"155","PBCT"
"156","UNP"
"157","ALB"
"158","CHD"
"159","LIN"
"160","HSIC"
"161","EXC"
"162","MCK"
"163","NDAQ"
"164","ORLY"
"165","CHTR"
"166","LRCX"
"167","PFG"
"168","PNW"
"169","LEN"
"170","FRT"
"171","AEP"
"172","FIS"
"173","CLX"
"174","NUE"
"175","F"
"176","FTNT"
"177","MAR"
"178","ATVI"
"179","ICE"
"180","FDS"
"181","LNT"
"182","ESS"
"183","CRM"
"184","HUM"
"185","HBAN"
"186","ATO"
"187","WEC"
"188","MSI"
"189","AFL"
"190","DVN"
"191","L"
"192","ADSK"
"193","NVR"
"194","ULTA"
"195","TXN"
"196","RSG"
"197","BRO"
"198","ED"
"199","TPR"
"200","MTD"
"201","LUMN"
"202","HAL"
"203","TRMB"
"204","DVA"
"205","JNJ"
"206","TGT"
"207","DHI"
"208","SLB"
"209","TSN"
"210","RE"
"211","ALK"
"212","PPL"
"213","FE"
"214","PNR"
"215","NVDA"
"216","BLK"
"217","BKNG"
"218","MOS"
"219","MA"
"220","FDX"
"221","BMY"
"222","BAC"
"223","PARA"
"224","V"
"225","KMX"
"226","DHR"
"227","GL"
"228","AEE"
"229","RCL"
"230","IRM"
"231","PFE"
"232","EOG"
"233","CAG"
"234","DUK"
"235","ZBRA"
"236","OMC"
"237","AXP"
"238","KIM"
"239","NLOK"
"240","USB"
"241","MGM"
"242","XRAY"
"243","T"
"244","WRB"
"245","ABC"
"246","SPG"
"247","PKI"
"248","GILD"
"249","HPQ"
"250","AKAM"
