"","x"
"1","PFE"
"2","AEP"
"3","UAL"
"4","WEC"
"5","L"
"6","CI"
"7","PTC"
"8","PARA"
"9","PM"
"10","DVN"
"11","NEM"
"12","SBUX"
"13","COO"
"14","RHI"
"15","DHR"
"16","NKE"
"17","STE"
"18","LKQ"
"19","VLO"
"20","APD"
"21","ODFL"
"22","AKAM"
"23","ADM"
"24","EXR"
"25","ABC"
"26","C"
"27","TRV"
"28","COF"
"29","NOC"
"30","HSY"
"31","WBA"
"32","EA"
"33","EQIX"
"34","IPGP"
"35","CPB"
"36","SWK"
"37","IDXX"
"38","LNC"
"39","MMM"
"40","CVS"
"41","ZBRA"
"42","MDT"
"43","CHD"
"44","WTW"
"45","PG"
"46","DUK"
"47","DTE"
"48","AIG"
"49","ACN"
"50","HSIC"
"51","WRB"
"52","MSFT"
"53","NWL"
"54","WM"
"55","SJM"
"56","RCL"
"57","CHTR"
"58","ILMN"
"59","DLR"
"60","RSG"
"61","FCX"
"62","MSI"
"63","VMC"
"64","HON"
"65","CNP"
"66","LHX"
"67","SEE"
"68","LLY"
"69","COST"
"70","HUM"
"71","DISCA"
"72","INTU"
"73","GD"
"74","IBM"
"75","GPC"
"76","FIS"
"77","CMG"
"78","SHW"
"79","V"
"80","MAS"
"81","CHRW"
"82","SO"
"83","BKR"
"84","BKNG"
"85","AEE"
"86","TYL"
"87","ZION"
"88","NLOK"
"89","ROP"
"90","LYV"
"91","TMUS"
"92","CSX"
"93","NSC"
"94","GWW"
"95","AAPL"
"96","PSA"
"97","KLAC"
"98","EXC"
"99","ITW"
"100","WDC"
"101","DVA"
"102","MHK"
"103","DGX"
"104","KMB"
"105","XEL"
"106","D"
"107","O"
"108","GILD"
"109","DE"
"110","EBAY"
"111","AMD"
"112","TFC"
"113","BAC"
"114","IP"
"115","NEE"
"116","ROK"
"117","PBCT"
"118","JNPR"
"119","MOS"
"120","XOM"
"121","WYNN"
"122","MCHP"
"123","LIN"
"124","MET"
"125","AWK"
"126","ROL"
"127","MO"
"128","ADBE"
"129","CNC"
"130","CTAS"
"131","HIG"
"132","ABT"
"133","ALL"
"134","GS"
"135","PPL"
"136","LMT"
"137","SPGI"
"138","PHM"
"139","NDSN"
"140","CL"
"141","VTRS"
"142","MTD"
"143","BEN"
"144","VZ"
"145","ORLY"
"146","TROW"
"147","DRI"
"148","EL"
"149","BMY"
"150","IRM"
"151","FE"
"152","SBAC"
"153","MU"
"154","YUM"
"155","PKI"
"156","GE"
"157","PH"
"158","WAB"
"159","SYY"
"160","JNJ"
"161","ICE"
"162","STX"
"163","MSCI"
"164","INCY"
"165","KEY"
"166","T"
"167","ETR"
"168","STZ"
"169","MOH"
"170","FRT"
"171","BSX"
"172","PNW"
"173","KO"
"174","DXC"
"175","RMD"
"176","ZBH"
"177","ORCL"
"178","BIIB"
"179","IPG"
"180","PGR"
"181","PCAR"
"182","HES"
"183","SIVB"
"184","UNP"
"185","APH"
"186","ETN"
"187","UDR"
"188","TER"
"189","NVDA"
"190","WFC"
"191","ED"
"192","IVZ"
"193","MCO"
"194","AOS"
"195","CAH"
"196","AVB"
"197","PWR"
"198","CRM"
"199","AAP"
"200","UPS"
"201","FITB"
"202","DRE"
"203","AME"
"204","KIM"
"205","RE"
"206","LNT"
"207","CAG"
"208","VNO"
"209","CVX"
"210","MCD"
"211","DFS"
"212","RTX"
"213","DISCK"
"214","FFIV"
"215","ALK"
"216","VRSN"
"217","DAL"
"218","EFX"
"219","KMX"
"220","ATO"
"221","BXP"
"222","HAS"
"223","CAT"
"224","OMC"
"225","MRO"
"226","K"
"227","TT"
"228","DHI"
"229","AJG"
"230","ARE"
"231","MA"
"232","OXY"
"233","BLK"
"234","SLB"
"235","ANSS"
"236","MKTX"
"237","TTWO"
"238","A"
"239","DISH"
"240","CF"
"241","MTB"
"242","CPRT"
"243","J"
"244","AZO"
"245","ADSK"
"246","BWA"
"247","SRE"
"248","LVS"
"249","TPR"
"250","COP"
