"","x"
"1","PENN"
"2","BEN"
"3","EXPE"
"4","RL"
"5","PG"
"6","ANTM"
"7","AAP"
"8","GRMN"
"9","POOL"
"10","SRE"
"11","CERN"
"12","ODFL"
"13","MTB"
"14","VRSN"
"15","DPZ"
"16","REG"
"17","ALL"
"18","BR"
"19","HPQ"
"20","PGR"
"21","TDY"
"22","MCHP"
"23","CTRA"
"24","EA"
"25","WELL"
"26","NI"
"27","MO"
"28","PH"
"29","APA"
"30","PFG"
"31","ADBE"
"32","ROK"
"33","AWK"
"34","FFIV"
"35","WHR"
"36","BIO"
"37","EFX"
"38","PHM"
"39","J"
"40","F"
"41","FIS"
"42","AAL"
"43","NFLX"
"44","INTU"
"45","CTAS"
"46","FE"
"47","CCL"
"48","ILMN"
"49","INTC"
"50","ECL"
"51","D"
"52","CAT"
"53","SBAC"
"54","TMUS"
"55","AME"
"56","ABC"
"57","DHI"
"58","ZION"
"59","LIN"
"60","PPG"
"61","WTW"
"62","FDS"
"63","LMT"
"64","UAA"
"65","T"
"66","SIVB"
"67","CBRE"
"68","DHR"
"69","UAL"
"70","PTC"
"71","AMAT"
"72","VTRS"
"73","BRO"
"74","MGM"
"75","CLX"
"76","FISV"
"77","ARE"
"78","CMG"
"79","MA"
"80","REGN"
"81","IRM"
"82","EL"
"83","GD"
"84","WAT"
"85","KLAC"
"86","DTE"
"87","K"
"88","MMM"
"89","RCL"
"90","ORLY"
"91","BKR"
"92","FITB"
"93","HAS"
"94","JNJ"
"95","LLY"
"96","NEM"
"97","SWK"
"98","CTXS"
"99","MCO"
"100","NOC"
"101","WYNN"
"102","O"
"103","UHS"
"104","DRE"
"105","C"
"106","MSFT"
"107","AMGN"
"108","MKC"
"109","FRT"
"110","MU"
"111","NDSN"
"112","BXP"
"113","EVRG"
"114","ABT"
"115","VLO"
"116","TYL"
"117","TDG"
"118","DFS"
"119","AKAM"
"120","BKNG"
"121","DVN"
"122","PKI"
"123","IT"
"124","HUM"
"125","AMT"
"126","A"
"127","GWW"
"128","WY"
"129","LYV"
"130","VTR"
"131","ADSK"
"132","XOM"
"133","TECH"
"134","GNRC"
"135","RHI"
"136","DG"
"137","ALK"
"138","KIM"
"139","XEL"
"140","ICE"
"141","HBAN"
"142","CINF"
"143","DLTR"
"144","TRV"
"145","FCX"
"146","JPM"
"147","BIIB"
"148","CPB"
"149","DVA"
"150","QCOM"
"151","ROST"
"152","PARA"
"153","EQIX"
"154","SNA"
"155","FAST"
"156","DLR"
"157","CRL"
"158","HON"
"159","DIS"
"160","OXY"
"161","DGX"
"162","HD"
"163","STZ"
"164","ETR"
"165","EXPD"
"166","CME"
"167","TROW"
"168","CHD"
"169","MAS"
"170","PEP"
"171","TPR"
"172","GILD"
"173","TEL"
"174","PNW"
"175","HOLX"
"176","GPN"
"177","ANSS"
"178","SJM"
"179","SYK"
"180","STE"
"181","BK"
"182","CNP"
"183","MTD"
"184","CF"
"185","KMB"
"186","GOOGL"
"187","HAL"
"188","URI"
"189","JCI"
"190","TER"
"191","NEE"
"192","TFX"
"193","IDXX"
"194","PVH"
"195","STT"
"196","MRK"
"197","TAP"
"198","CMA"
"199","NVDA"
"200","CB"
"201","MCD"
"202","CTSH"
"203","TJX"
"204","BAC"
"205","OMC"
"206","MRO"
"207","ETN"
"208","GOOG"
"209","MSCI"
"210","DXC"
"211","SPGI"
"212","LEN"
"213","VFC"
"214","ZBRA"
"215","WDC"
"216","SHW"
"217","PKG"
"218","COO"
"219","ROL"
"220","CCI"
"221","GPC"
"222","COP"
"223","IPGP"
"224","ES"
"225","APH"
"226","ADI"
"227","ALB"
"228","WMB"
"229","DD"
"230","TSCO"
"231","AON"
"232","AXP"
"233","EMR"
"234","CMS"
"235","ESS"
"236","JBHT"
"237","SLB"
"238","LHX"
"239","PFE"
"240","CSX"
"241","ISRG"
"242","MS"
"243","NLOK"
"244","KO"
"245","MLM"
"246","JKHY"
"247","WMT"
"248","GLW"
"249","CDNS"
"250","MHK"
