"","x"
"1","USB"
"2","AAP"
"3","CVX"
"4","ES"
"5","MCO"
"6","TSCO"
"7","AMD"
"8","ITW"
"9","APA"
"10","RF"
"11","PKI"
"12","LH"
"13","MMM"
"14","IVZ"
"15","EMR"
"16","NVR"
"17","EA"
"18","FFIV"
"19","HAL"
"20","GRMN"
"21","AEE"
"22","MRO"
"23","MDLZ"
"24","XRAY"
"25","WYNN"
"26","ETN"
"27","VMC"
"28","ABC"
"29","CTXS"
"30","PKG"
"31","AWK"
"32","V"
"33","KO"
"34","MHK"
"35","TFX"
"36","AVY"
"37","VTRS"
"38","INTC"
"39","SPG"
"40","NRG"
"41","MAR"
"42","SCHW"
"43","BIIB"
"44","ATO"
"45","SYK"
"46","BXP"
"47","DXCM"
"48","WST"
"49","ROST"
"50","ARE"
"51","DISCA"
"52","ISRG"
"53","ZBRA"
"54","EL"
"55","IRM"
"56","NUE"
"57","EXPE"
"58","DRE"
"59","KLAC"
"60","O"
"61","MSCI"
"62","HST"
"63","SYY"
"64","ZBH"
"65","TEL"
"66","GE"
"67","NI"
"68","AMGN"
"69","ANSS"
"70","BIO"
"71","AFL"
"72","SNA"
"73","PEP"
"74","AES"
"75","PNW"
"76","MAA"
"77","UHS"
"78","REGN"
"79","BSX"
"80","ADP"
"81","AON"
"82","CE"
"83","NTAP"
"84","WELL"
"85","BK"
"86","CTRA"
"87","OMC"
"88","MRK"
"89","FRT"
"90","DAL"
"91","ATVI"
"92","EOG"
"93","TMO"
"94","HRL"
"95","IPGP"
"96","ICE"
"97","MCK"
"98","PPL"
"99","BA"
"100","WRB"
"101","JPM"
"102","WEC"
"103","GIS"
"104","TDY"
"105","NWL"
"106","INCY"
"107","DHI"
"108","SWKS"
"109","ADI"
"110","DGX"
"111","DISH"
"112","ADM"
"113","DXC"
"114","PSA"
"115","WAT"
"116","UPS"
"117","MTD"
"118","KIM"
"119","BKR"
"120","GOOG"
"121","DLTR"
"122","STX"
"123","ROL"
"124","GNRC"
"125","GLW"
"126","ADSK"
"127","TXN"
"128","TPR"
"129","MKC"
"130","PH"
"131","ETR"
"132","KEY"
"133","AOS"
"134","PVH"
"135","DRI"
"136","TER"
"137","ECL"
"138","TT"
"139","AVGO"
"140","SLB"
"141","LRCX"
"142","COP"
"143","DISCK"
"144","FAST"
"145","AJG"
"146","EXR"
"147","SNPS"
"148","SJM"
"149","EXPD"
"150","LUMN"
"151","CMCSA"
"152","BAC"
"153","MTB"
"154","CDNS"
"155","CPRT"
"156","CNP"
"157","GL"
"158","TYL"
"159","AAL"
"160","TROW"
"161","SWK"
"162","MLM"
"163","HSY"
"164","BMY"
"165","RMD"
"166","MPWR"
"167","LEN"
"168","FDX"
"169","MKTX"
"170","RE"
"171","KMX"
"172","RHI"
"173","CPB"
"174","XOM"
"175","EFX"
"176","RCL"
"177","WAB"
"178","SBNY"
"179","AAPL"
"180","LVS"
"181","IP"
"182","AMAT"
"183","OXY"
"184","APD"
"185","WY"
"186","CRM"
"187","ROP"
"188","GS"
"189","VRSK"
"190","MS"
"191","PFE"
"192","KR"
"193","AMZN"
"194","HES"
"195","ACN"
"196","YUM"
"197","PEG"
"198","TTWO"
"199","LNT"
"200","PGR"
"201","FTNT"
"202","DVA"
"203","AMP"
"204","PARA"
"205","HIG"
"206","CME"
"207","BWA"
"208","DVN"
"209","ALL"
"210","HUM"
"211","MOS"
"212","WHR"
"213","PPG"
"214","QCOM"
"215","MTCH"
"216","DTE"
"217","UAA"
"218","LHX"
"219","FE"
"220","NFLX"
"221","SEE"
"222","LUV"
"223","IPG"
"224","CSCO"
"225","MU"
"226","UAL"
"227","URI"
"228","IT"
"229","DD"
"230","DHR"
"231","CINF"
"232","C"
"233","CHD"
"234","PFG"
"235","STT"
"236","IEX"
"237","CBRE"
"238","A"
"239","VNO"
"240","CCI"
"241","TECH"
"242","LYV"
"243","UDR"
"244","BLK"
"245","HD"
"246","PLD"
"247","EXC"
"248","FCX"
"249","ORCL"
"250","EMN"
