"","x"
"1","JBHT"
"2","JPM"
"3","NI"
"4","DE"
"5","JNPR"
"6","VLO"
"7","INCY"
"8","EFX"
"9","EA"
"10","AJG"
"11","DFS"
"12","MRK"
"13","ULTA"
"14","BBWI"
"15","EMR"
"16","IT"
"17","OXY"
"18","BLK"
"19","TDG"
"20","FDS"
"21","NRG"
"22","PARA"
"23","WDC"
"24","SNA"
"25","TAP"
"26","KO"
"27","DLR"
"28","ALL"
"29","ROST"
"30","RHI"
"31","LLY"
"32","MTB"
"33","LYV"
"34","GOOG"
"35","APA"
"36","BAX"
"37","GL"
"38","NKE"
"39","TTWO"
"40","ARE"
"41","RJF"
"42","OKE"
"43","L"
"44","D"
"45","AZO"
"46","KR"
"47","T"
"48","A"
"49","XOM"
"50","PLD"
"51","ISRG"
"52","TMO"
"53","CCL"
"54","TROW"
"55","FFIV"
"56","DTE"
"57","PNC"
"58","AAL"
"59","GD"
"60","CRL"
"61","DGX"
"62","AMZN"
"63","TXN"
"64","BEN"
"65","ANSS"
"66","RTX"
"67","LUV"
"68","MRO"
"69","MDLZ"
"70","DLTR"
"71","AWK"
"72","DISH"
"73","INTC"
"74","BDX"
"75","FIS"
"76","LHX"
"77","KIM"
"78","ROP"
"79","CNC"
"80","WELL"
"81","O"
"82","VFC"
"83","STZ"
"84","AXP"
"85","APD"
"86","SBUX"
"87","CMG"
"88","ETR"
"89","CAH"
"90","DXCM"
"91","WM"
"92","ORLY"
"93","ROL"
"94","SEE"
"95","K"
"96","UAL"
"97","HAL"
"98","LOW"
"99","ADSK"
"100","JKHY"
"101","PFG"
"102","DRE"
"103","HSIC"
"104","PG"
"105","IVZ"
"106","GWW"
"107","DRI"
"108","CMI"
"109","PRU"
"110","SPGI"
"111","GNRC"
"112","DUK"
"113","HOLX"
"114","MCD"
"115","VTRS"
"116","HON"
"117","TRV"
"118","MSCI"
"119","VNO"
"120","TPR"
"121","ROK"
"122","AMT"
"123","GPN"
"124","DHI"
"125","DIS"
"126","ZBH"
"127","BIO"
"128","CHRW"
"129","TXT"
"130","APH"
"131","RSG"
"132","BAC"
"133","IRM"
"134","AVB"
"135","EOG"
"136","RE"
"137","TSCO"
"138","PPL"
"139","COO"
"140","TFX"
"141","ABT"
"142","CVX"
"143","BR"
"144","AVY"
"145","CTRA"
"146","VRSN"
"147","UDR"
"148","BKNG"
"149","BSX"
"150","YUM"
"151","PGR"
"152","FITB"
"153","ATO"
"154","IDXX"
"155","BKR"
"156","DVA"
"157","MMC"
"158","RL"
"159","STX"
"160","IFF"
"161","ABC"
"162","LH"
"163","PKG"
"164","MS"
"165","SYY"
"166","CTXS"
"167","BIIB"
"168","LEN"
"169","PH"
"170","PBCT"
"171","CAT"
"172","LMT"
"173","WMB"
"174","PXD"
"175","ATVI"
"176","NEE"
"177","PPG"
"178","V"
"179","MKTX"
"180","AAPL"
"181","WMT"
"182","NUE"
"183","MOH"
"184","HIG"
"185","FAST"
"186","LUMN"
"187","TER"
"188","ORCL"
"189","HST"
"190","TMUS"
"191","CTAS"
"192","AIZ"
"193","AMGN"
"194","FCX"
"195","MCHP"
"196","MAS"
"197","CB"
"198","PM"
"199","AAP"
"200","ES"
"201","WBA"
"202","EXPE"
"203","VZ"
"204","CPB"
"205","IPG"
"206","VTR"
"207","OMC"
"208","FE"
"209","CPRT"
"210","CSX"
"211","DXC"
"212","XRAY"
"213","NVR"
"214","AES"
"215","GS"
"216","NEM"
"217","MNST"
"218","CF"
"219","C"
"220","UNP"
"221","NOC"
"222","SPG"
"223","CDNS"
"224","MSI"
"225","GPC"
"226","ESS"
"227","UHS"
"228","KMB"
"229","BLL"
"230","RCL"
"231","KMX"
"232","CAG"
"233","HUM"
"234","IBM"
"235","IP"
"236","AMD"
"237","HPQ"
"238","TECH"
"239","MAA"
"240","STE"
"241","ANTM"
"242","DISCA"
"243","MPWR"
"244","WHR"
"245","BWA"
"246","PNR"
"247","ACN"
"248","UAA"
"249","URI"
"250","ZBRA"
