"","x"
"1","WM"
"2","AES"
"3","EA"
"4","YUM"
"5","NVDA"
"6","XOM"
"7","JNPR"
"8","FMC"
"9","PNW"
"10","CHD"
"11","WTW"
"12","ADI"
"13","BSX"
"14","PVH"
"15","UAL"
"16","KEY"
"17","EIX"
"18","LHX"
"19","MRO"
"20","AEP"
"21","CNP"
"22","CINF"
"23","OMC"
"24","DISCA"
"25","BBWI"
"26","GPC"
"27","KLAC"
"28","SJM"
"29","AMP"
"30","TFX"
"31","TFC"
"32","AME"
"33","DHI"
"34","AMD"
"35","PPG"
"36","XRAY"
"37","CHRW"
"38","MSFT"
"39","SO"
"40","IRM"
"41","MCK"
"42","HAS"
"43","PSA"
"44","HSIC"
"45","NI"
"46","TXN"
"47","RTX"
"48","GWW"
"49","NUE"
"50","DVA"
"51","CHTR"
"52","MSCI"
"53","J"
"54","AAP"
"55","HPQ"
"56","TGT"
"57","ETN"
"58","SIVB"
"59","GD"
"60","IT"
"61","EW"
"62","MCD"
"63","SBNY"
"64","PEG"
"65","CVX"
"66","AJG"
"67","CME"
"68","HIG"
"69","ORLY"
"70","TSN"
"71","MAS"
"72","BDX"
"73","TPR"
"74","NWL"
"75","WDC"
"76","MGM"
"77","CTRA"
"78","MA"
"79","SWK"
"80","ALGN"
"81","VLO"
"82","FE"
"83","HES"
"84","D"
"85","HAL"
"86","FTNT"
"87","NKE"
"88","PEAK"
"89","L"
"90","ALL"
"91","TYL"
"92","CPB"
"93","INTU"
"94","COO"
"95","TECH"
"96","PKI"
"97","COF"
"98","ANTM"
"99","CAH"
"100","SRE"
"101","DUK"
"102","IPG"
"103","TMUS"
"104","ARE"
"105","NLOK"
"106","MHK"
"107","F"
"108","LDOS"
"109","DXCM"
"110","CTAS"
"111","PLD"
"112","RHI"
"113","AIZ"
"114","HRL"
"115","TER"
"116","IDXX"
"117","MLM"
"118","BLK"
"119","BK"
"120","ETR"
"121","AVY"
"122","CNC"
"123","ADBE"
"124","FIS"
"125","UAA"
"126","UNH"
"127","CTXS"
"128","DTE"
"129","LUV"
"130","NFLX"
"131","ABC"
"132","JCI"
"133","SEE"
"134","WST"
"135","AAL"
"136","CSX"
"137","PAYX"
"138","WHR"
"139","BAC"
"140","ZBRA"
"141","WFC"
"142","GPN"
"143","WAB"
"144","HOLX"
"145","TJX"
"146","EMN"
"147","O"
"148","DISCK"
"149","SNPS"
"150","CB"
"151","FRT"
"152","ROP"
"153","LRCX"
"154","XEL"
"155","EBAY"
"156","LH"
"157","BLL"
"158","EXC"
"159","LKQ"
"160","PARA"
"161","GNRC"
"162","NOC"
"163","HD"
"164","A"
"165","TMO"
"166","IPGP"
"167","MKTX"
"168","RF"
"169","JPM"
"170","TRV"
"171","CLX"
"172","BRO"
"173","LOW"
"174","TXT"
"175","REGN"
"176","GILD"
"177","AMZN"
"178","MTCH"
"179","PM"
"180","PGR"
"181","WEC"
"182","AXP"
"183","ALB"
"184","GOOG"
"185","WMT"
"186","WMB"
"187","ILMN"
"188","KO"
"189","BMY"
"190","KMB"
"191","PFG"
"192","CF"
"193","CPRT"
"194","SHW"
"195","PNC"
"196","MPWR"
"197","LNT"
"198","SBAC"
"199","V"
"200","ROST"
"201","PRU"
"202","BKR"
"203","AMAT"
"204","BA"
"205","RCL"
"206","SYK"
"207","NRG"
"208","LEN"
"209","RSG"
"210","PTC"
"211","KR"
"212","IP"
"213","ECL"
"214","PH"
"215","IFF"
"216","MU"
"217","TSCO"
"218","LNC"
"219","DHR"
"220","POOL"
"221","NTRS"
"222","SCHW"
"223","APD"
"224","CL"
"225","EL"
"226","UDR"
"227","RMD"
"228","NVR"
"229","MO"
"230","GS"
"231","AVB"
"232","DVN"
"233","GIS"
"234","TT"
"235","CAG"
"236","DD"
"237","ESS"
"238","CE"
"239","CMI"
"240","AOS"
"241","PXD"
"242","ODFL"
"243","ATO"
"244","PENN"
"245","FITB"
"246","STZ"
"247","KIM"
"248","NDAQ"
"249","DRI"
"250","DLTR"
