"","x"
"1","FFIV"
"2","MRO"
"3","HAS"
"4","CMI"
"5","PVH"
"6","MET"
"7","GLW"
"8","CHRW"
"9","AJG"
"10","AES"
"11","WRB"
"12","FAST"
"13","DXC"
"14","HON"
"15","MHK"
"16","HIG"
"17","ADSK"
"18","PNW"
"19","PKI"
"20","PBCT"
"21","CDNS"
"22","MA"
"23","PLD"
"24","TYL"
"25","WBA"
"26","SO"
"27","IPGP"
"28","NOC"
"29","ALB"
"30","GPN"
"31","INTC"
"32","LEN"
"33","BEN"
"34","DHI"
"35","ATO"
"36","J"
"37","AWK"
"38","VZ"
"39","ODFL"
"40","BSX"
"41","ATVI"
"42","CTRA"
"43","MDLZ"
"44","CHD"
"45","AVB"
"46","MCO"
"47","ULTA"
"48","STX"
"49","MS"
"50","NDSN"
"51","AME"
"52","GS"
"53","CRM"
"54","MDT"
"55","MPWR"
"56","V"
"57","RJF"
"58","JCI"
"59","VMC"
"60","APD"
"61","CMG"
"62","HD"
"63","CNC"
"64","ILMN"
"65","WFC"
"66","GIS"
"67","SNPS"
"68","OKE"
"69","PENN"
"70","LYV"
"71","EQR"
"72","LUMN"
"73","DD"
"74","EIX"
"75","CMS"
"76","BKR"
"77","NDAQ"
"78","MU"
"79","TPR"
"80","IBM"
"81","CVS"
"82","CMCSA"
"83","HST"
"84","GWW"
"85","INTU"
"86","CAG"
"87","LIN"
"88","UHS"
"89","CPRT"
"90","WTW"
"91","IFF"
"92","FIS"
"93","MMM"
"94","TMO"
"95","ORLY"
"96","MSCI"
"97","IT"
"98","COO"
"99","L"
"100","O"
"101","SCHW"
"102","NKE"
"103","NWL"
"104","SBUX"
"105","TFC"
"106","MKC"
"107","WDC"
"108","BAX"
"109","WHR"
"110","COF"
"111","IP"
"112","WST"
"113","XOM"
"114","TSN"
"115","CF"
"116","AIZ"
"117","KIM"
"118","MCK"
"119","CAT"
"120","IPG"
"121","ETN"
"122","EMR"
"123","CL"
"124","CTSH"
"125","CAH"
"126","RF"
"127","MRK"
"128","AMT"
"129","DOV"
"130","LVS"
"131","MSI"
"132","KR"
"133","NTRS"
"134","MO"
"135","BIO"
"136","AMD"
"137","BDX"
"138","CCI"
"139","AFL"
"140","ABC"
"141","PCAR"
"142","DVN"
"143","SYY"
"144","GD"
"145","HES"
"146","MSFT"
"147","UDR"
"148","PNR"
"149","FCX"
"150","XEL"
"151","GILD"
"152","TGT"
"153","ARE"
"154","NEM"
"155","TAP"
"156","SBAC"
"157","STT"
"158","DHR"
"159","NFLX"
"160","PTC"
"161","GL"
"162","PRU"
"163","LDOS"
"164","TEL"
"165","SNA"
"166","KMX"
"167","WAB"
"168","IDXX"
"169","EL"
"170","GOOGL"
"171","WEC"
"172","BR"
"173","FISV"
"174","ROST"
"175","SLB"
"176","TROW"
"177","AON"
"178","EA"
"179","TER"
"180","SRE"
"181","ACN"
"182","ISRG"
"183","TXN"
"184","VNO"
"185","UNP"
"186","A"
"187","PFE"
"188","ABMD"
"189","IVZ"
"190","CVX"
"191","MOH"
"192","EQIX"
"193","VTR"
"194","UNH"
"195","AMZN"
"196","CI"
"197","DAL"
"198","CBRE"
"199","JPM"
"200","STE"
"201","CSX"
"202","VFC"
"203","ETR"
"204","DTE"
"205","RSG"
"206","ABT"
"207","MKTX"
"208","HBAN"
"209","CMA"
"210","IEX"
"211","DPZ"
"212","HOLX"
"213","HUM"
"214","BRO"
"215","MLM"
"216","ORCL"
"217","D"
"218","PNC"
"219","CERN"
"220","AEE"
"221","LMT"
"222","PAYX"
"223","MMC"
"224","AAPL"
"225","DISCK"
"226","AZO"
"227","SWK"
"228","INCY"
"229","RMD"
"230","NEE"
"231","PEG"
"232","UAL"
"233","OXY"
"234","XRAY"
"235","FRT"
"236","MAS"
"237","TDY"
"238","PKG"
"239","EXR"
"240","TSCO"
"241","MTB"
"242","TFX"
"243","FE"
"244","KLAC"
"245","ROP"
"246","CINF"
"247","DFS"
"248","HRL"
"249","CTAS"
"250","EFX"
