"","x"
"1","WTW"
"2","HUM"
"3","PRU"
"4","NWL"
"5","GWW"
"6","CVX"
"7","MHK"
"8","PFE"
"9","MMM"
"10","BSX"
"11","DHI"
"12","WDC"
"13","KLAC"
"14","HAS"
"15","TFX"
"16","ETN"
"17","JCI"
"18","FRT"
"19","ACN"
"20","CHRW"
