"","x"
"1","KMB"
"2","BXP"
"3","BLL"
"4","KR"
"5","ZBH"
"6","SLB"
"7","DE"
"8","ADI"
"9","CB"
"10","PKG"
"11","FMC"
"12","OKE"
"13","AEP"
"14","PEP"
"15","FITB"
"16","NKE"
"17","WMB"
"18","PTC"
"19","ISRG"
"20","CHTR"
"21","DFS"
"22","NOC"
"23","WEC"
"24","LUMN"
"25","KIM"
"26","CMA"
"27","CAH"
"28","DIS"
"29","CCI"
"30","ALK"
"31","DHR"
"32","XEL"
"33","HSY"
"34","WM"
"35","SYY"
"36","PGR"
"37","TMUS"
"38","XRAY"
"39","ORCL"
"40","SIVB"
"41","ROK"
"42","MCO"
"43","ABT"
"44","MMM"
"45","FTNT"
"46","VTR"
"47","TECH"
"48","ANTM"
"49","AIZ"
"50","TFX"
"51","PPG"
"52","WELL"
"53","CVS"
"54","JNPR"
"55","DLR"
"56","FDS"
"57","INTC"
"58","ANSS"
"59","FDX"
"60","MSI"
"61","HPQ"
"62","LDOS"
"63","AES"
"64","AXP"
"65","NDAQ"
"66","APA"
"67","NSC"
"68","WY"
"69","TXN"
"70","NRG"
"71","BK"
"72","MO"
"73","AFL"
"74","APH"
"75","BR"
"76","CI"
"77","WHR"
"78","ES"
"79","NTAP"
"80","K"
"81","SEE"
"82","EVRG"
"83","AMP"
"84","VLO"
"85","PVH"
"86","MCK"
"87","ICE"
"88","WRB"
"89","INCY"
"90","LYV"
"91","CNC"
"92","AZO"
"93","AEE"
"94","MOS"
"95","XOM"
"96","MSFT"
"97","D"
"98","NEM"
"99","MGM"
"100","CHRW"
"101","DLTR"
"102","DISH"
"103","NI"
"104","AWK"
"105","CME"
"106","SRE"
"107","VTRS"
"108","COST"
"109","COO"
"110","LUV"
"111","LIN"
"112","SPGI"
"113","EBAY"
"114","STZ"
"115","PNC"
"116","DVA"
"117","KEY"
"118","AMGN"
"119","BA"
"120","PSA"
"121","SO"
"122","GPC"
"123","BIO"
"124","PHM"
"125","CPRT"
"126","GIS"
"127","KLAC"
"128","VRSK"
"129","ITW"
"130","NDSN"
"131","UAA"
"132","MS"
"133","EFX"
"134","VRSN"
"135","EXPE"
"136","HSIC"
"137","IPG"
"138","UAL"
"139","EQIX"
"140","EL"
"141","HIG"
"142","AME"
"143","WDC"
"144","NWL"
"145","EOG"
"146","AOS"
"147","A"
"148","AAP"
"149","WAB"
"150","AVB"
"151","LLY"
"152","FFIV"
"153","MDLZ"
"154","JCI"
"155","ROL"
"156","BSX"
"157","ACN"
"158","ORLY"
"159","VZ"
"160","BLK"
"161","CDNS"
"162","RJF"
"163","CAG"
"164","MKC"
"165","IEX"
"166","TSCO"
"167","PM"
"168","OXY"
"169","JPM"
"170","WMT"
"171","DHI"
"172","LHX"
"173","F"
"174","AKAM"
"175","SBAC"
"176","IPGP"
"177","GNRC"
"178","LMT"
"179","LOW"
"180","APD"
"181","CHD"
"182","BBWI"
"183","CTXS"
"184","CSX"
"185","DTE"
"186","SPG"
"187","ETR"
"188","BMY"
"189","DAL"
"190","TROW"
"191","EXR"
"192","ATVI"
"193","BAC"
"194","VNO"
"195","ECL"
"196","TJX"
"197","SCHW"
"198","HOLX"
"199","CF"
"200","O"
"201","AJG"
"202","HAS"
"203","IFF"
"204","HON"
"205","ARE"
"206","CRL"
"207","UPS"
"208","TDY"
"209","CBRE"
"210","INTU"
"211","GWW"
"212","PFE"
"213","AAPL"
"214","SWK"
"215","RL"
"216","PARA"
"217","URI"
"218","LEN"
"219","COF"
"220","AVGO"
"221","RCL"
"222","AMD"
"223","PCAR"
"224","HAL"
"225","J"
"226","DISCK"
"227","TSN"
"228","MET"
"229","CCL"
"230","MAA"
"231","MCD"
"232","GL"
"233","ETN"
"234","MAR"
"235","CTRA"
"236","HRL"
"237","PH"
"238","LRCX"
"239","GILD"
"240","PRU"
"241","ED"
"242","SWKS"
"243","TGT"
"244","DPZ"
"245","EMR"
"246","PXD"
"247","REG"
"248","ROST"
"249","JNJ"
"250","FE"
