"","x"
"1","INTU"
"2","IFF"
"3","RJF"
"4","NKE"
"5","MAA"
"6","ATVI"
"7","ETR"
"8","UAL"
"9","NTAP"
"10","TEL"
"11","NWL"
"12","PAYX"
"13","AIZ"
"14","HSIC"
"15","ROK"
"16","PPG"
"17","YUM"
"18","GOOGL"
"19","WY"
"20","CINF"
"21","D"
"22","VTRS"
"23","SEE"
"24","ODFL"
"25","BLK"
"26","SWKS"
"27","MSI"
"28","SYK"
"29","INCY"
"30","WST"
"31","TXT"
"32","EXR"
"33","MMC"
"34","ES"
"35","EIX"
"36","AEP"
"37","GPN"
"38","FDX"
"39","GIS"
"40","C"
"41","LNC"
"42","CMG"
"43","COP"
"44","ZION"
"45","SBAC"
"46","K"
"47","DHI"
"48","WMB"
"49","ZBH"
"50","BBWI"
"51","URI"
"52","CVX"
"53","MO"
"54","PKG"
"55","BDX"
"56","UDR"
"57","ROP"
"58","JBHT"
"59","SNA"
"60","RMD"
"61","CCL"
"62","RCL"
"63","CTXS"
"64","JCI"
"65","HAS"
"66","NSC"
"67","PSA"
"68","LOW"
"69","KR"
"70","IDXX"
"71","DLR"
"72","PPL"
"73","COF"
"74","MDLZ"
"75","ANTM"
"76","BRO"
"77","MOS"
"78","AAL"
"79","MA"
"80","CTSH"
"81","PXD"
"82","ETN"
"83","GS"
"84","RHI"
"85","F"
"86","WM"
"87","CB"
"88","MTD"
"89","DE"
"90","GWW"
"91","RL"
"92","DPZ"
"93","EXPD"
"94","MTCH"
"95","REG"
"96","SYY"
"97","L"
"98","BLL"
"99","MLM"
"100","RTX"
"101","AEE"
"102","CAG"
"103","WYNN"
"104","APA"
"105","IT"
"106","STT"
"107","AAPL"
"108","BK"
"109","NDSN"
"110","DUK"
"111","RE"
"112","MS"
"113","AAP"
"114","TT"
"115","VRTX"
"116","MRO"
"117","TDG"
"118","MCK"
"119","WAB"
"120","BAX"
"121","FCX"
"122","ALB"
"123","ABMD"
"124","FISV"
"125","VZ"
"126","LHX"
"127","NVR"
"128","T"
"129","OXY"
"130","AIG"
"131","ANSS"
"132","FIS"
"133","NDAQ"
"134","WDC"
"135","CF"
"136","TPR"
"137","OMC"
"138","AMZN"
"139","CTAS"
"140","VFC"
"141","DAL"
"142","ALK"
"143","AME"
"144","CAH"
"145","BR"
"146","NUE"
"147","CBRE"
"148","NEM"
"149","PTC"
"150","ULTA"
"151","AMD"
"152","PWR"
"153","LVS"
"154","NLOK"
"155","TXN"
"156","PENN"
"157","ROL"
"158","GL"
"159","MSFT"
"160","EVRG"
"161","MHK"
"162","TYL"
"163","LUV"
"164","XRAY"
"165","AWK"
"166","MTB"
"167","BEN"
"168","GNRC"
"169","CRL"
"170","HPQ"
"171","MPWR"
"172","HON"
"173","HES"
"174","ADP"
"175","CHD"
"176","MNST"
"177","NOC"
"178","EW"
"179","PBCT"
"180","VLO"
"181","FAST"
"182","IPG"
"183","BIIB"
"184","EMR"
"185","ORCL"
"186","RSG"
"187","JNJ"
"188","AZO"
"189","BKR"
"190","CHRW"
"191","EA"
"192","DOV"
"193","ADM"
"194","IP"
"195","GPC"
"196","DVN"
"197","SLB"
"198","ZBRA"
"199","CAT"
"200","CSCO"
"201","CERN"
"202","DISCA"
"203","BKNG"
"204","CTRA"
"205","CMCSA"
"206","JNPR"
"207","XOM"
"208","NRG"
"209","VTR"
"210","HRL"
"211","GRMN"
"212","UHS"
"213","TECH"
"214","DHR"
"215","SO"
"216","CRM"
"217","IPGP"
"218","FMC"
"219","CHTR"
"220","MAS"
"221","TRV"
"222","PLD"
"223","NEE"
"224","APD"
"225","FRT"
"226","AJG"
"227","ILMN"
"228","STX"
"229","CMI"
"230","HAL"
"231","EFX"
"232","UAA"
"233","MET"
"234","TFC"
"235","APH"
"236","IBM"
"237","BA"
"238","BAC"
"239","FITB"
"240","A"
"241","MAR"
"242","STZ"
"243","MKTX"
"244","CNC"
"245","XEL"
"246","VNO"
"247","PM"
"248","SHW"
"249","WEC"
"250","KMX"
