% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2021
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2021 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2021, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
197208	  0.01435214	  0.02134590	 -0.02701586	
197209	 -0.01895737	  0.02600311	 -0.01634573	
197210	 -0.03986215	 -0.02410893	 -0.01902972	
197211	 -0.01686769	 -0.03299665	 -0.00816412	
197212	 -0.07355568	 -0.03660636	  0.00900269	
197301	 -0.05781599	 -0.02770359	 -0.01486163	
197302	 -0.04853245	  0.02722927	 -0.01082593	
197303	 -0.03054217	 -0.01318236	 -0.01272406	
197304	 -0.04049684	 -0.01100848	  0.02307425	
197305	 -0.11534552	 -0.06491351	 -0.00261441	
197306	 -0.20033228	 -0.16508180	 -0.03236227	
197307	 -0.09612580	 -0.00875773	  0.00254919	
197308	 -0.09691967	 -0.02580932	  0.01591023	
197309	 -0.12374937	 -0.00368549	  0.01708202	
197310	 -0.05408999	  0.02483714	 -0.04303971	
197311	 -0.30250782	 -0.23911512	 -0.02655529	
197312	 -0.13258622	 -0.08041980	 -0.01675243	
197401	 -0.16222705	 -0.06571089	  0.10250596	
197402	 -0.12089040	 -0.05431697	  0.03769419	
197403	 -0.00128850	  0.11431303	  0.04482981	
197404	 -0.04192028	  0.00233514	  0.02300093	
197405	 -0.10176336	 -0.08482687	  0.05882930	
197406	 -0.06936954	 -0.06538507	 -0.00960425	
197407	 -0.23115673	 -0.13654196	 -0.00559386	
197408	 -0.10185960	 -0.06267862	 -0.03185659	
197409	 -0.11031084	 -0.06596701	  0.02156429	
197410	 -0.08565812	  0.00627670	 -0.07688055	
197411	 -0.08357406	  0.03435123	 -0.02330062	
197412	 -0.10467737	 -0.04181331	  0.01523821	
197501	 -0.11363563	 -0.07659808	  0.10876389	
197502	 -0.07571968	  0.01795398	  0.03662677	
197503	 -0.13072540	  0.00618494	  0.05969079	
197504	  0.00011554	  0.03541860	  0.00217849	
197505	 -0.06664547	 -0.01202046	 -0.03349678	
197506	  0.02342901	  0.02364197	 -0.01748245	
197507	 -0.05962827	 -0.02809171	 -0.00961332	
197508	 -0.12755964	 -0.12224360	 -0.00855122	
197509	 -0.08967729	 -0.05345448	 -0.01921566	
197510	 -0.06496285	  0.02533646	  0.09069118	
197511	  0.00741821	  0.02795932	  0.03623193	
197512	 -0.02442816	 -0.02139024	 -0.00279676	
197601	 -0.06026916	 -0.03548081	  0.01889973	
197602	 -0.01850114	  0.05055314	 -0.04154115	
197603	 -0.01869402	  0.00840044	 -0.01547489	
197604	 -0.02836403	 -0.04878217	 -0.02147658	
197605	 -0.09013978	 -0.08802749	 -0.03940119	
197606	 -0.06495230	 -0.02411116	 -0.00663523	
197607	 -0.09137023	 -0.05395387	 -0.02832679	
197608	 -0.01515904	  0.03125339	  0.01810316	
197609	 -0.03775239	  0.01744701	 -0.01575295	
197610	 -0.08540734	 -0.04498536	  0.00653387	
