"Index","MDLZ.BV_per_share","NRG.BV_per_share","IT.BV_per_share","NTAP.BV_per_share","XRAY.BV_per_share","MPWR.BV_per_share","AMP.BV_per_share","LMT.BV_per_share","URI.BV_per_share","LKQ.BV_per_share","PNR.BV_per_share","FRT.BV_per_share","EA.BV_per_share","CCI.BV_per_share","RF.BV_per_share","WEC.BV_per_share","WY.BV_per_share","UPS.BV_per_share","O.BV_per_share","SBAC.BV_per_share","ISRG.BV_per_share","REG.BV_per_share","PM.BV_per_share","CSCO.BV_per_share","MRO.BV_per_share","DG.BV_per_share","SBUX.BV_per_share","AMAT.BV_per_share","STT.BV_per_share","T.BV_per_share","NOC.BV_per_share","ED.BV_per_share","CLX.BV_per_share","ULTA.BV_per_share","AAL.BV_per_share","ES.BV_per_share","WAT.BV_per_share","PPL.BV_per_share","TSCO.BV_per_share","AES.BV_per_share","EXPE.BV_per_share","ZBH.BV_per_share","TRV.BV_per_share","DRI.BV_per_share","BRO.BV_per_share","NKE.BV_per_share","FITB.BV_per_share","CMA.BV_per_share","ARE.BV_per_share","LRCX.BV_per_share","CSX.BV_per_share","BMY.BV_per_share","TROW.BV_per_share","TEL.BV_per_share","DGX.BV_per_share","ANSS.BV_per_share","MTCH.BV_per_share","BKNG.BV_per_share","MGM.BV_per_share","WFC.BV_per_share","TAP.BV_per_share","SWKS.BV_per_share","BDX.BV_per_share","MCHP.BV_per_share","BR.BV_per_share","TRMB.BV_per_share","CBRE.BV_per_share","DUK.BV_per_share","POOL.BV_per_share","DFS.BV_per_share","PVH.BV_per_share","INTU.BV_per_share","HSIC.BV_per_share","GPN.BV_per_share","CF.BV_per_share","TER.BV_per_share","MMM.BV_per_share","NEM.BV_per_share","MA.BV_per_share","HOLX.BV_per_share","EW.BV_per_share","A.BV_per_share","APA.BV_per_share","ANTM.BV_per_share","GL.BV_per_share","NFLX.BV_per_share","TT.BV_per_share","AME.BV_per_share","NVR.BV_per_share","WMB.BV_per_share","HES.BV_per_share","NDAQ.BV_per_share","NWL.BV_per_share","PEP.BV_per_share","CB.BV_per_share","ALL.BV_per_share","PPG.BV_per_share","VZ.BV_per_share","CNP.BV_per_share","USB.BV_per_share","PRU.BV_per_share","CE.BV_per_share","F.BV_per_share","RL.BV_per_share","IRM.BV_per_share","JNPR.BV_per_share","FFIV.BV_per_share","BXP.BV_per_share","ADSK.BV_per_share","D.BV_per_share","AEE.BV_per_share","NTRS.BV_per_share","FDS.BV_per_share","PNW.BV_per_share","HD.BV_per_share","MU.BV_per_share","CMI.BV_per_share","ALK.BV_per_share","PWR.BV_per_share","CAH.BV_per_share","KO.BV_per_share","DAL.BV_per_share","PHM.BV_per_share","NDSN.BV_per_share","V.BV_per_share","AVB.BV_per_share","DXCM.BV_per_share","SEE.BV_per_share","GNRC.BV_per_share","PG.BV_per_share","SIVB.BV_per_share","VFC.BV_per_share","CDNS.BV_per_share","CTXS.BV_per_share","SCHW.BV_per_share","ATO.BV_per_share","DISCK.BV_per_share","BLK.BV_per_share","VMC.BV_per_share","EL.BV_per_share","ROST.BV_per_share","EQIX.BV_per_share","TMUS.BV_per_share","AXP.BV_per_share","FDX.BV_per_share","INTC.BV_per_share","AAP.BV_per_share","LOW.BV_per_share","AFL.BV_per_share","PAYX.BV_per_share","AMGN.BV_per_share","ACN.BV_per_share","TYL.BV_per_share","RCL.BV_per_share","WYNN.BV_per_share","GS.BV_per_share","VRSK.BV_per_share","WM.BV_per_share","ECL.BV_per_share","PH.BV_per_share","IVZ.BV_per_share","UAA.BV_per_share","MRK.BV_per_share","EMN.BV_per_share","CVX.BV_per_share","EMR.BV_per_share","AMZN.BV_per_share","SBNY.BV_per_share","HAS.BV_per_share","EIX.BV_per_share","UNP.BV_per_share","CHD.BV_per_share","VRTX.BV_per_share","RSG.BV_per_share","NSC.BV_per_share","RHI.BV_per_share","AON.BV_per_share","MS.BV_per_share","ILMN.BV_per_share","MAA.BV_per_share","MAR.BV_per_share","ESS.BV_per_share","EBAY.BV_per_share","FE.BV_per_share","HPQ.BV_per_share","KMB.BV_per_share","FCX.BV_per_share","CRM.BV_per_share","XOM.BV_per_share","MOH.BV_per_share","IDXX.BV_per_share","WST.BV_per_share","ETN.BV_per_share","AEP.BV_per_share","ALGN.BV_per_share","REGN.BV_per_share","SLB.BV_per_share","PFE.BV_per_share","HON.BV_per_share","SPG.BV_per_share","MAS.BV_per_share","TFC.BV_per_share","ADI.BV_per_share","LDOS.BV_per_share","EFX.BV_per_share","AAPL.BV_per_share","RTX.BV_per_share","BWA.BV_per_share","PKI.BV_per_share","WELL.BV_per_share","GILD.BV_per_share","KIM.BV_per_share","ITW.BV_per_share","EOG.BV_per_share","KR.BV_per_share","PGR.BV_per_share","OMC.BV_per_share","IEX.BV_per_share","HIG.BV_per_share","UNH.BV_per_share","MTB.BV_per_share","TDG.BV_per_share","SRE.BV_per_share","WHR.BV_per_share","HRL.BV_per_share","KEY.BV_per_share","DVN.BV_per_share","RE.BV_per_share","JPM.BV_per_share","MO.BV_per_share","MSI.BV_per_share","FTNT.BV_per_share","SYY.BV_per_share","GOOGL.BV_per_share","MDT.BV_per_share","DE.BV_per_share","DRE.BV_per_share","ABC.BV_per_share","VTRS.BV_per_share","WDC.BV_per_share","AZO.BV_per_share","BIIB.BV_per_share","PARA.BV_per_share","AMT.BV_per_share","ABT.BV_per_share","ROK.BV_per_share","DIS.BV_per_share","AVY.BV_per_share","DTE.BV_per_share"
"2009-11-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.27,NA,4.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.16,NA,NA,8.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.27,NA,NA,NA,NA,3.85,NA,4.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.78,NA,NA,NA,NA,NA,NA,NA,NA
"2009-12-31",17.57,31.28,1.17,NA,12.97,6.06,38.7,11.07,-0.32,4.15,21.55,19.74,7.95,11.11,14.99,15.39,19.18,7.74,14.27,5.12,4.44,23.83,3.26,NA,30.95,NA,2.25,NA,29.28,17.28,41.34,40.56,0.19,NA,-10.49,NA,9.02,15.42,5.4,13.3,18.99,27.61,52.69,NA,4.82,NA,16.98,46.49,53.93,12.44,2.48,8.65,11.15,15.26,21.89,14.64,NA,29,8.77,22.08,38.26,6.55,22.32,4.03,6.29,5.25,2.44,50.16,5.15,NA,NA,NA,11.92,NA,7.19,3.8,18.72,25.7,2.71,10.68,3.4,NA,46.9,55.28,18.24,0.53,NA,6.46,295.34,15.47,41.34,23.39,6.42,11.15,58.44,31.14,11.84,29.67,6.75,13.94,55.44,4.06,-2.31,31.2,10.6,11.22,10.73,36.5,NA,18.67,33.95,26.12,NA,33.8,NA,NA,19.97,6.13,14.81,14.46,5.5,0.31,8.39,NA,6.97,37.41,-0.4,13.84,NA,23.73,35.66,NA,0.4,11.98,4.37,24.29,21.9,396.68,32.06,5.09,NA,30.08,12.98,12.09,NA,7.55,13.7,NA,8.98,NA,22.78,NA,3.83,35.05,25.63,137.28,-0.19,13.56,8.49,28.84,17.67,1.03,19.78,10.45,46.1,11.88,11.84,19.78,11.63,33.78,16.63,5.68,5.48,19.12,28.06,6.05,20.39,38.79,7.23,15.58,3.19,44.29,10.62,28.07,NA,13.65,12.52,NA,24.41,14.13,4.42,8.77,10.26,27.49,3.66,4.89,16.09,11.21,11.74,18.14,8.04,23.55,NA,NA,12.8,1.41,22.42,9.51,13.92,30.86,3.62,12.62,17.69,19.8,NA,8.55,14.44,15.66,46.72,20.58,65.58,9,37.45,50.13,NA,12.44,34.86,102.86,41.95,1.96,29.92,1.07,6.64,56.65,NA,NA,13.25,9.66,10.26,17.5,NA,21.71,13.37,8.26,14.95,9.59,20.23,12.94,38.19
"2010-01-31",NA,NA,NA,6.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.24,NA,9.95,NA,5.32,NA,NA,NA,NA,NA,5.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.51,7.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.44,NA,NA,NA,NA,NA,11.42,NA,NA,NA,NA,NA,NA,NA,NA,5.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,NA,NA,NA,NA,NA,NA,13.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.83,NA,NA,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,11.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.11,NA,4.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,NA,NA,NA,5.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.75,NA,NA,8.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.94,NA,NA,NA,NA,3.87,NA,4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.65,NA,NA,NA,NA,NA,NA,NA,NA
"2010-03-31",19.85,32.39,1.21,NA,12.87,6.4,41.57,10.86,-0.79,4.36,21.41,19.57,8.27,10.31,14.79,15.71,7.85,7.69,14.06,4.8,5.02,23.44,2.8,NA,31.39,NA,2.38,NA,30.74,17.34,42.02,40.81,1.28,NA,-11.7,NA,8.76,16.43,5.46,13.25,18.37,28.18,53.66,NA,4.94,NA,16.87,32.15,54.23,13.05,2.54,8.88,11.59,14.99,21.85,15.04,NA,27.76,8.57,22.7,38.58,6.7,22.07,4.14,6.36,5.39,2.45,50.42,4.91,NA,NA,NA,12,NA,7.16,4.09,19.42,27.73,2.93,10.77,1.69,NA,49.71,56.84,19.76,0.4,NA,6.38,303.91,15.35,42.72,23.55,6.53,13.44,60.94,32.69,11.39,29.95,6.87,14.29,59.08,3.66,-1.6,31.74,10.58,11.66,11.17,36.44,NA,18.54,34.05,26.66,NA,30.71,NA,NA,20.2,6.19,14.88,14.82,5.45,0.09,8.36,NA,7.15,37.92,0.81,13.99,5.71,23.19,37.31,8.69,0.44,12.55,4.75,25.11,22.45,392.48,31.7,5.28,NA,29.84,13.14,11.22,NA,7.75,12.77,NA,9.57,NA,23.13,NA,3.97,34.74,26.16,141.86,0.16,13.52,7.99,29.16,18.34,1.05,19.36,10.85,47.82,11.95,12.6,20.45,11.89,33.71,17.01,5.92,4.9,19.84,28.55,5.98,20.25,39.46,7.73,15.71,2.96,43.66,10.81,28,NA,13.69,13.73,NA,25.05,14.35,4.32,8.45,20.05,27.82,3.92,4.72,16.38,11.17,11.88,17.79,7.77,23.89,NA,NA,13.14,1.54,22.42,9.53,13.85,30.33,4.16,12.6,17.4,20.09,NA,9.26,13.57,15.88,40.19,21.46,66.66,9.88,37.63,50.55,NA,12.42,37.95,102.5,41.44,2.05,30.25,1.12,6.81,60.14,NA,NA,13.01,10.06,10.3,19.35,NA,22.29,13.34,8.57,13.61,9.95,19.79,13.09,39.16
"2010-04-30",NA,NA,NA,7.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.66,NA,10.37,NA,5.45,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.12,9.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,11.49,NA,NA,NA,NA,NA,NA,NA,NA,6.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52,NA,NA,NA,NA,NA,NA,13.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.68,NA,NA,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,23.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33,13.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.47,NA,5.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.52,NA,NA,9.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.98,NA,NA,NA,NA,3.88,NA,4.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.7,NA,NA,NA,NA,NA,NA,NA,NA
"2010-06-30",19.13,32.7,1.12,NA,12.16,6.84,44.12,10.3,-0.83,4.51,21.19,19.45,8.34,9.64,13.9,15.86,19.43,8,13.87,3.47,5.43,22.79,2.38,NA,32.22,NA,2.38,NA,32.03,17.51,43.74,40.88,0.6,NA,-11.8,NA,8.83,17.02,5.95,13.39,18.75,28.46,55.83,NA,5.06,NA,17.21,32.85,51.17,14.04,2.45,9.11,11.51,15.23,22.28,15.45,NA,28.61,6.46,23.21,39.38,6.87,22.2,4.22,6.25,5.21,2.55,48.4,5.88,NA,NA,NA,12.39,NA,11.8,5.02,20.07,27.97,3.15,10.88,1.65,NA,52.33,59,21.52,0.48,NA,6.48,306.41,15.46,44.24,23.15,6.82,12.5,63.2,33.58,11.02,29.88,7.26,15.1,64.89,4.41,-1.03,30.96,10.48,11.83,11.77,36.4,NA,20.62,34.3,27.34,NA,33.07,NA,NA,20.93,6.58,15.01,14.8,5.59,0.25,8.58,NA,7.35,39.2,0.71,13.94,5.9,21.61,38.84,8.45,0.61,12.61,4.92,24.85,22.89,395.96,31.41,4.97,NA,38.39,13.67,12.07,NA,8.23,12.67,NA,10.65,NA,24.19,NA,3.97,35.33,26.72,143.2,0.3,13.38,7.97,27.65,18.84,1.07,18.71,11.62,49.88,12.08,13.07,21.63,11.25,34.05,17.33,6.14,4.08,20.09,29.19,5.62,20.31,42.35,8.34,15.42,3.37,41.86,10.8,28.93,NA,12.9,13.08,NA,28.55,14.67,4.55,8.32,19.7,27.68,4.41,4.52,16.67,10.81,11.82,18.19,7.49,24.16,NA,NA,13.43,1.69,22.51,9.03,13.94,30.02,3.9,12.41,17.34,19.99,NA,9.44,13.31,15.61,42.54,22.27,68.03,10.86,37.94,49.88,NA,12.57,38.31,107.4,43.04,2.17,30.64,1.25,6.5,63.73,NA,NA,12.25,10.42,9.63,20.39,NA,21.54,13.52,8.54,12.95,9.7,20.49,13.33,39.1
"2010-07-31",NA,NA,NA,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.83,NA,10.8,NA,5.45,NA,NA,NA,NA,NA,5.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.61,8.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.71,NA,NA,NA,NA,NA,11.67,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61,NA,NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.66,NA,NA,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.18,24.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.52,14.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-08-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.51,NA,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.22,NA,NA,NA,5.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.92,NA,NA,9.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1,NA,NA,NA,NA,3.97,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.38,NA,NA,NA,NA,NA,NA,NA,NA
"2010-09-30",20.04,33.84,1.6,NA,13.21,7.07,46.26,10.88,-0.25,4.65,22.37,19.31,7.95,9.27,13.66,16.07,8.61,8.62,14.7,3.24,5.68,22.36,2.71,NA,32.9,NA,2.48,NA,35.03,19.17,45.15,42.04,2,NA,-10.93,NA,10.12,17.8,6.13,13.58,20.02,29.48,59.27,NA,5.19,NA,17.47,33.19,52.7,15.35,2.57,9.29,11.95,15.91,22.78,16.06,NA,33.35,5.76,23.87,41.1,7.3,23.65,4.38,5.8,5.5,2.96,50.19,6.24,NA,NA,NA,12.82,NA,12.1,5.89,22.15,29.86,3.71,10.41,1.8,NA,60.22,61.71,23.65,0.52,NA,6.95,299.53,14,48.18,25.67,6.45,12.79,67.34,35.88,12.58,29.94,7.4,15.61,72.96,5.9,-0.5,33.39,9.81,12.12,12.49,36.65,NA,20.82,33,27.95,NA,35.21,NA,NA,22.72,7.47,15.35,15.02,6.09,0.91,6.01,NA,7.49,38.74,0.6,15.03,6.23,22.58,40.42,9.1,1.11,13.33,5.05,24.16,23.55,408.32,31.34,5.46,NA,40.31,14.16,13.22,NA,8.55,13.59,NA,11.82,NA,25.28,NA,3.1,36.48,26.64,147.91,0.35,13.54,8.49,30.95,19.15,1.17,18.85,12.56,51.16,13.22,14.25,22.43,10.91,35.44,17.68,6.4,3.2,20.27,29.69,5.78,21.57,43.35,8.86,14.32,3.72,41.53,11.53,28.51,NA,14.54,14.57,NA,29.86,15.4,4.76,9.21,21.54,28.45,4.71,4.23,22.81,10.99,13.42,19.15,7.75,24.2,NA,NA,14.01,1.86,24.1,10.13,14.46,31.26,3.6,12.73,17.93,19.93,NA,10.12,14.61,16.35,47.05,23.3,68.96,12,37.22,54.33,NA,12.94,43.17,114.21,44.28,2.47,31.41,1.41,6.79,67.8,NA,NA,12,10.65,11.44,21.35,NA,21.28,14.02,8.64,13.9,10.31,20.74,14.48,39.55
"2010-10-31",NA,NA,NA,8.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.01,NA,11.19,NA,5.67,NA,NA,NA,NA,NA,5.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.07,8.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.84,NA,NA,NA,NA,NA,11.64,NA,NA,NA,NA,NA,NA,NA,NA,7.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,13.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,NA,NA,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.71,26.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.81,14.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-11-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.71,NA,NA,10.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.23,NA,NA,NA,NA,4.01,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.56,NA,NA,NA,NA,NA,NA,NA,NA
